answer,guessed,num_guessed,time_to_solve
tempo,oater#teloi#tenno#tempo,4,1.74
rupee,oater#riles#runed#rupee,4,2.59
hydro,oater#roils#crony#hydro,4,1.77
royal,orate#solar#loran#royal,4,3.05
level,oater#lines#lycee#luged#lemel#level,6,2.02
vomit,orate#toils#potin#vomit,4,2.0
train,roate#trail#train,3,1.59
satin,orate#alist#natis#satin,4,2.37
brute,roate#urite#brute,3,1.77
privy,oater#nirls#chiru#yrivd#privy,5,1.79
cumin,oater#lysin#cumin,3,2.64
inner,orate#slier#nicer#infer#inker#inner,6,1.93
angel,orate#alien#angel,3,2.31
guilt,orate#tulsi#guilt,3,2.56
urban,orate#arils#urman#urban,4,2.27
atoll,roate#altos#atoll,3,2.52
staid,orate#thali#stain#staid,4,1.74
voter,oater#noter#doter#voter,4,2.13
lucky,orate#lysin#lucky,3,2.11
scale,oater#aisle#scale,3,1.91
batch,orate#tails#natch#patch#match#gatch#batch,7,2.48
avian,oater#anils#acing#apian#avian,5,2.27
cacao,oater#paoli#canso#cacao,4,2.06
flyer,oater#siler#ulcer#plyer#flyer,5,1.71
mower,oater#soler#goier#doner#coyer#fouer#hoper#mower,8,3.52
piney,oater#silen#piney,3,1.82
salad,oater#nails#lassu#salad,4,2.69
magic,roate#nails#machi#magic,4,2.32
hello,roate#eloin#ousel#celom#hello,5,2.34
gavel,roate#alien#laces#haled#bagel#gavel,6,2.34
buyer,oater#siler#under#pucer#buyer,5,3.75
suave,orate#liane#chase#usage#suave,5,2.07
outdo,roate#litho#nutso#outdo,4,4.36
sally,roate#anils#gusla#sadly#sally,5,2.51
press,oater#riels#grens#creds#preys#prems#press,7,2.21
plaid,roate#snail#claim#plaid,4,2.39
ruder,orate#slier#under#ruder,4,2.6
loamy,oater#aloin#coals#loamy,4,2.27
jewel,oater#lines#cluey#heled#gemel#bevel#jewel,7,1.91
snail,oater#slain#snail,3,2.14
swell,orate#elsin#luces#seely#speld#shelf#skelm#swell,8,2.96
fritz,roate#crits#grith#britt#fritz,5,1.92
sooth,roate#volti#ponts#south#sowth#sooth,6,2.59
motto,oater#lotic#motus#mothy#motto,5,2.21
phase,roate#liane#chase#phase,4,2.67
adult,oater#alist#adult,3,2.5
delta,roate#delta,2,2.52
awful,oater#slain#ducal#ahull#ampul#awful,6,2.88
quash,orate#slain#chays#quash,4,1.94
ionic,oater#linos#yonic#monic#ionic,5,1.96
dwell,orate#lenis#cluey#fjeld#dwell,5,2.0
march,oater#lairs#carny#parch#march,5,2.22
churn,roate#nirls#churn,3,2.06
melee,orate#slice#lunge#phyle#delve#welke#melee,7,2.26
tulip,oater#lints#clipt#tulip,4,2.31
fling,orate#lysin#cling#pling#bling#fling,6,2.08
curve,orate#birle#nurse#curve,4,1.88
diver,orate#riels#nicer#hider#dimer#diker#diver,7,4.1
click,orate#lysin#picul#child#climb#cliff#click,7,2.95
image,roate#liane#image,3,2.84
siren,oater#riles#siren,3,2.73
slump,oater#lysin#schul#slump,4,2.2
every,oater#liers#quern#chere#peery#emery#every,7,2.85
while,roate#slice#guile#dwile#while,5,2.1
kayak,orate#nails#gaucy#yabba#kayak,5,3.51
intro,oater#rotls#nitro#intro,4,3.05
cigar,roate#liras#dinar#cimar#cigar,5,1.97
whale,oater#aisle#quale#dwale#whale,5,2.18
knock,oater#linos#ycond#knock,4,2.19
spank,orate#snail#scand#shank#spank,5,2.49
crown,oater#loris#crony#crown,4,2.47
curse,oater#riels#nurse#curse,4,2.3
chart,orate#liart#scart#chart,4,2.13
abide,roate#aisle#anime#abide,4,2.82
crumb,roate#nirls#crudy#crump#crumb,5,1.88
drown,oater#roils#crony#drown,4,2.33
speak,roate#alien#uveas#sheaf#speak,5,3.3
snout,roate#litho#stoun#snout,4,2.04
worth,oater#triol#snort#routh#forth#worth,6,2.3
labor,orate#soral#algor#labor,4,2.46
inept,roate#islet#ident#inept,4,2.25
young,roate#loins#young,3,2.83
flush,roate#lysin#schul#plush#blush#flush,6,2.93
snipe,orate#slice#snide#snipe,4,2.52
parka,roate#liras#carny#garum#parka,5,3.49
flint,oater#lints#clint#glint#flint,5,2.18
edify,oater#lenis#juice#edify,4,2.44
cheat,oater#telia#stane#cheat,4,2.54
shine,roate#slice#snide#shine,4,2.04
snort,oater#triol#ronts#snort,4,2.72
lapse,orate#aisle#salue#lapse,4,3.4
refer,roate#riles#runed#rebec#rekey#rehem#repeg#refer,8,2.1
birth,oater#tirls#virtu#dirty#mirth#girth#birth,7,2.2
dance,roate#aisle#dance,3,2.16
waive,orate#aisle#daine#maize#waive,5,2.43
karma,oater#laris#carny#garum#marah#parma#karma,7,2.2
modal,oater#aloin#colas#joual#loyal#podal#modal,7,5.25
tryst,oater#tirls#trust#tryst,4,2.19
laugh,roate#nails#lauch#laugh,4,2.67
warty,roate#airts#carta#party#warty,5,2.9
sonic,roate#loins#sonic,3,3.06
crate,roate#irate#crate,3,3.55
chard,oater#liars#unary#chard,4,4.22
doubt,orate#toils#count#doubt,4,2.85
smite,roate#blite#suite#shite#spite#smite,6,2.55
jazzy,roate#anils#gaucy#dampy#fabby#jazzy,6,2.77
croak,oater#soral#groan#croak,4,3.06
spent,roate#teils#scent#suent#shent#spent,6,3.4
white,oater#stile#unite#white,4,2.95
quake,oater#aisle#nugae#buaze#quake,5,2.2
chord,orate#loirs#mucro#chord,4,2.35
shear,oater#clear#shear,3,2.13
posse,oater#eloin#souce#poyse#posse,5,2.39
clink,orate#lysin#cling#clink,4,2.2
recur,orate#siler#recur,3,2.3
flung,roate#lysin#clung#flung,4,2.17
goofy,oater#loins#coypu#howdy#moggy#gobby#goofy,7,3.45
pizza,orate#nails#acmic#pikau#pizza,5,2.6
taffy,oater#tails#tacan#tammy#taggy#tabby#taffy,7,3.02
troll,orate#triol#troll,3,2.23
mushy,oater#lysin#cushy#pushy#mushy,5,2.46
plier,oater#siler#plier,3,2.14
elate,orate#slate#plate#blate#elate,5,3.07
loose,roate#locie#louse#lowse#loose,5,2.69
trace,oater#alert#irate#trace,4,2.75
carve,orate#raile#carse#carve,4,2.19
betel,roate#tiles#lunet#betel,4,2.52
sniff,oater#lysin#incus#knish#sniff,5,2.86
edict,oater#stile#teind#edict,4,2.88
larva,oater#rails#larch#larum#lardy#larva,6,2.22
tatty,roate#laity#nasty#catty#patty#batty#fatty#tatty,8,2.19
grown,roate#droil#crons#proyn#grown,5,3.05
opera,oater#oread#opera,3,2.22
toxic,roate#toils#tonic#topic#toxic,5,2.34
seedy,oater#liens#speck#suede#seedy,5,2.3
missy,oater#lysin#cissy#hissy#pissy#missy,6,2.37
smote,orate#clote#shote#smote,4,2.55
sonar,roate#soral#sonar,3,2.46
quark,orate#rials#unary#guard#quark,5,2.25
blush,orate#lysin#schul#plush#blush,5,2.58
recut,orate#liter#terns#recut,4,2.3
antic,roate#alist#antic,3,3.1
cyber,roate#liers#unred#cyber,4,2.55
cling,orate#lysin#cling,3,2.7
thong,oater#toils#thong,3,2.82
piety,oater#steil#ident#piety,4,2.92
route,oater#store#ronte#route,4,3.24
rogue,orate#loure#rogue,3,2.63
model,oater#solei#loden#yodel#model,5,2.72
craze,orate#irade#urase#crane#crape#crame#crake#crave#craze,9,2.39
clack,oater#snail#luach#plack#black#flack#clack,7,2.52
index,roate#liens#cunei#inked#indew#index,6,2.59
slyly,orate#lysin#sulky#shyly#slyly,5,4.58
grand,oater#arils#franc#grand,4,2.94
quoth,roate#clots#dhoti#quoth,4,2.45
melon,oater#eloin#pelon#melon,4,3.04
unfed,oater#silen#unbed#unfed,4,2.37
fully,orate#lysin#cully#dully#hully#pully#gully#bully#fully,9,2.97
spite,roate#blite#suite#shite#spite,5,6.74
dowel,roate#solei#loden#dowel,4,3.06
hunch,orate#lysin#dunch#punch#munch#bunch#hunch,7,2.76
today,oater#loast#tomia#today,4,2.66
fruit,oater#tirls#print#bruit#fruit,5,3.48
blood,roate#linos#cymol#blood,4,2.5
defer,oater#slier#under#dryer#defer,5,2.82
month,oater#toils#count#ponty#month,5,2.39
goner,roate#lores#goier#goner,4,3.12
smelt,orate#steil#slept#smelt,4,2.51
shard,oater#arils#scran#shura#shard,5,2.52
beret,oater#relet#beret,3,2.22
occur,roate#droil#scrog#occur,4,2.53
lower,roate#sorel#loner#loper#lower,5,2.47
flunk,orate#lysin#clung#plunk#blunk#flunk,6,2.53
randy,oater#lairs#carny#randy,4,2.69
earth,orate#recta#earth,3,2.53
denim,oater#liens#genic#denim,4,2.47
cello,roate#olein#eusol#cello,4,2.54
vouch,oater#noils#coypu#mouch#gouch#vouch,6,2.68
wrack,roate#liars#franc#crapy#drack#brack#wrack,7,2.72
dimly,orate#lysin#icily#dimly,4,2.69
dizzy,oater#lysin#juicy#dippy#divvy#dizzy,6,2.73
scary,roate#liars#snary#scary,4,2.41
graph,orate#urali#crans#grapy#graph,5,2.69
wheat,oater#telia#etnas#cheat#wheat,5,2.87
rally,orate#laris#rawly#rally,4,2.45
vixen,roate#nelis#cunei#inked#hizen#vimen#vixen,7,2.49
sauna,oater#nails#sauna,3,2.92
shift,oater#lints#stich#shift,4,2.41
glare,roate#glare,2,2.4
