answer,guessed,num_guessed,time_to_solve
adage,soare#liane#quate#chape#deave#adage,6,2.68
fiend,soare#elint#piend#fiend,4,2.66
pound,soare#doilt#pound,3,2.18
hutch,aeros#until#dutch#mutch#butch#kutch#cutch#hutch,8,2.43
gloss,aeros#toils#oulks#clons#plods#gloms#globs#glows#gloss,9,2.85
cinch,soare#unlit#mincy#pinch#ginch#finch#winch#cinch,8,3.04
alpha,aeros#antic#almud#allay#alpha,5,2.75
count,soare#lotic#count,3,2.6
plier,arose#liter#plier,3,2.82
gnash,aeros#slant#gnash,3,2.61
ether,soare#relit#tuner#ether,4,2.45
smith,aeros#sluit#sting#smith,4,3.28
ethos,soare#telos#ethos,3,2.42
growl,aeros#intro#clour#prowl#growl,5,2.65
savvy,aeros#slant#spica#sadhu#sammy#saggy#savvy,7,2.81
knack,arose#ictal#nucha#candy#knack,5,2.6
karma,arose#liart#upran#darcy#marka#karma,6,2.37
frail,arose#trail#drail#grail#brail#frail,6,2.59
trust,aeros#snirt#crust#brust#frust#trust,6,2.29
aider,aeros#alert#arpen#aider,4,2.39
caper,arose#ratel#paren#caper,4,2.82
endow,soare#teloi#envoy#endow,4,2.86
fifty,arose#unlit#dicty#mifty#wifty#fifty,6,2.69
realm,soare#react#realm,3,2.85
mourn,soare#court#loury#houri#mourn,5,2.31
purer,soare#relit#unred#murex#curer#purer,6,2.71
amber,soare#later#aider#anger#acker#amber,6,3.09
omega,arose#oaten#obeah#omega,4,3.0
flume,soare#utile#lunge#blude#plume#flume,6,2.65
naive,aeros#laten#daine#naive,4,3.24
think,aeros#until#nicht#thing#think,5,2.81
heist,aeros#neist#deist#heist,4,2.65
today,aeros#notal#today,3,2.51
climb,aeros#until#child#climb,4,2.49
flour,aeros#intro#clour#flour,4,2.6
email,soare#leant#email,3,2.9
cedar,soare#later#denar#cedar,4,3.09
forgo,aeros#toric#lordy#korun#morph#zorro#borgo#forgo,8,2.76
using,soare#lints#using,3,3.01
beefy,arose#elint#cubed#beefy,4,2.86
spite,arose#istle#suite#shite#spite,5,2.98
scoop,aeros#splog#stoop#snoop#scoop,5,3.12
askew,aeros#ashet#aspen#asked#askew,5,2.5
rodeo,arose#toner#rowel#ropey#robed#rodeo,6,3.56
koala,soare#loath#coaly#woald#koala,5,3.6
saucy,soare#sault#saucy,3,3.28
awoke,soare#atone#alowe#awoke,4,2.89
piggy,soare#until#dicky#gimpy#piggy,5,3.5
squad,soare#sault#squad,3,3.11
false,aeros#stela#lyase#halse#false,5,3.44
afire,aeros#artel#aiery#afire,4,2.7
awash,aeros#alist#abysm#awash,4,2.93
hence,arose#utile#hynde#hence,4,2.78
basic,arose#litas#nashi#basic,4,3.08
rival,soare#trial#riyal#rival,4,3.13
knife,oater#nelis#yince#indue#knife,5,3.03
minus,oater#lysin#incus#nidus#minus,5,3.26
defer,oater#siler#under#dreer#defer,5,3.53
kiosk,oater#lions#kiosk,3,2.69
colon,roate#loins#nould#colon,4,2.88
vapor,oater#sapor#vapor,3,2.56
gamma,roate#anils#gaucy#gamma,4,2.75
stare,orate#stare,2,2.82
razor,oater#sapor#labor#nagor#mayor#favor#razor,7,2.94
perch,orate#riels#unred#mercy#perch,5,3.69
sleek,oater#silen#slued#sleep#sleek,5,3.02
chump,roate#lysin#chump,3,3.23
bloom,oater#noils#cloud#globy#bloop#bloom,6,2.81
brisk,roate#nirls#crisp#grisy#brisk,5,3.33
drift,orate#trild#dript#drift,4,2.39
crime,orate#brule#crise#crine#cripe#crime,6,3.04
miser,oater#slier#miser,3,2.9
blitz,oater#lints#culti#glitz#blitz,5,2.74
evoke,oater#noels#pioye#chode#emove#evoke,6,3.38
gayly,oater#nails#cauld#haply#laxly#gayly,6,2.88
alarm,orate#liars#clary#alarm,4,2.92
snout,orate#toils#nutso#stoun#snout,5,2.86
tempo,orate#lotes#tepoy#tempo,4,3.13
genre,roate#birle#cruse#genre,4,2.74
spunk,oater#lysin#snuck#spunk,4,2.58
frond,oater#loris#crony#brond#frond,5,3.02
smite,roate#blite#suite#shite#spite#smite,6,2.46
guild,oater#lysin#picul#guild,4,2.66
optic,roate#stoln#dicot#optic,4,2.83
slept,oater#steil#slept,3,2.81
pubic,orate#lysin#pudic#pubic,4,3.27
betel,oater#lites#betel,3,3.4
untie,roate#istle#kithe#untie,4,2.71
trial,oater#slart#trial,3,3.3
nutty,oater#liths#nutty,3,3.13
borne,oater#eorls#morne#borne,4,3.45
tarot,roate#taros#taroc#tarok#tarot,5,3.1
willy,roate#lysin#dimly#hiply#bigly#filly#willy,7,2.98
arson,roate#carol#arson,3,3.17
trash,roate#slart#trans#trash,4,2.57
atone,oater#stoae#atone,3,3.33
solid,oater#noils#soldi#solid,4,3.16
board,orate#claro#hoars#goary#board,5,3.04
stock,oater#toils#snout#stock,4,3.25
leach,oater#aisle#clean#leach,4,3.73
shaft,oater#alist#scant#shaft,4,3.23
stick,orate#tulsi#sting#stich#stick,5,3.39
fever,oater#siler#under#cyber#merer#hewer#fever,7,2.83
wreak,oater#seral#rimae#creak#break#freak#wreak,7,3.54
robot,roate#rotls#rozit#robot,4,2.8
scene,orate#slice#scene,3,2.6
loath,oater#tolas#loath,3,3.41
saner,oater#laser#saner,3,3.21
vague,orate#aisle#dance#mauve#vague,5,3.0
smack,oater#slain#scaud#spacy#shack#smack,6,3.52
doing,oater#noils#poind#doing,4,3.71
drill,roate#nirls#drily#drill,4,3.13
brawl,oater#arils#urnal#crawl#drawl#brawl,6,3.31
hotly,orate#toils#hotly,3,3.37
sever,oater#siler#super#syker#serer#seder#sefer#sewer#sever,9,3.11
beset,oater#islet#unset#beset,4,3.37
ester,oater#liter#cuter#ester,4,3.45
roomy,oater#roils#round#rocky#roopy#roomy,6,3.34
stomp,orate#toils#snout#stock#stogy#stomp,6,3.37
stank,orate#slant#stand#stang#stank,5,3.09
bloke,orate#close#ploye#glode#bloke,5,3.36
field,roate#silen#yield#bield#field,5,3.54
chalk,oater#snail#luach#chalk,4,3.16
oaken,oater#oaves#oaken,3,3.36
sleep,oater#silen#slued#sleep,4,2.93
label,oater#lanes#lacey#lamed#lapel#label,6,3.67
fleet,orate#tiles#lunet#gleet#fleet,5,3.71
privy,orate#vrils#yrivd#privy,4,2.91
llama,roate#snail#luach#llama,4,3.2
heavy,orate#leans#peach#heady#heavy,5,3.09
venue,orate#slice#nudge#venue,4,3.59
dusky,oater#lysin#cushy#dusky,4,3.24
tenor,oater#tenor,2,3.26
going,oater#linos#chino#doing#boing#going,6,3.42
scoff,orate#linos#scudo#scowp#scoff,5,3.31
crude,roate#birle#cruse#crude,4,3.21
shout,orate#toils#nutso#stoup#scout#shout,6,3.81
spied,oater#silen#skiey#shied#spied,5,3.39
lover,orate#soler#loner#loper#lower#lover,6,3.7
sweat,orate#salet#sceat#speat#sweat,5,3.84
ought,oater#oints#oucht#ought,4,3.26
fetus,oater#istle#setup#fetus,4,3.9
churn,oater#nirls#runch#churn,4,3.47
ralph,oater#lairs#rawly#ralph,4,3.53
feral,oater#seral#neral#feral,4,3.57
grief,roate#liers#ering#grief,4,3.27
quark,oater#liras#franc#guard#quark,5,3.53
plane,roate#slane#plane,3,2.87
lapel,oater#lanes#lacey#lamed#lapel,5,3.48
spurt,oater#tirls#crust#spurt,4,3.05
spill,oater#lysin#sulci#shill#spill,5,3.42
cleft,roate#islet#glent#clept#cleft,5,3.66
house,oater#lenos#cosie#youse#douse#house,6,3.9
diary,orate#liars#diary,3,3.3
tramp,oater#slart#train#track#trayf#tramp,6,3.3
learn,orate#lears#learn,3,3.2
weird,orate#leirs#weird,3,3.46
lathe,oater#lathe,2,2.88
slash,roate#snail#slack#slash,4,3.39
moral,roate#soral#coral#horal#poral#moral,6,3.72
graft,roate#slart#krait#drant#craft#graft,6,3.13
gazer,oater#laser#namer#caper#yager#gazer,6,3.65
rocky,oater#loris#round#rocky,4,3.12
tutor,oater#sutor#tutor,3,3.05
birch,oater#nirls#birch,3,3.16
funky,oater#lysin#cundy#hunky#punky#gunky#funky,7,3.42
denim,oater#nelis#genic#denim,4,2.91
lithe,roate#stile#tilde#lithe,4,3.58
frame,orate#urase#irade#crane#grape#brame#frame,7,3.23
binge,oater#lenis#yince#dinge#hinge#minge#binge,7,3.53
blimp,orate#lysin#picul#blimp,4,3.55
proxy,oater#loris#crony#grody#proxy,5,3.18
ficus,orate#lysin#scudi#cuish#ficus,5,3.52
wight,roate#tulsi#nicht#dight#pight#might#bight#fight#kight#wight,10,3.37
rabid,oater#lairs#ranid#rapid#rabid,5,2.99
basis,oater#nails#iambs#basis,4,3.05
whack,roate#snail#quack#whack,4,3.55
glass,oater#slain#clash#plasm#flask#glass,6,3.63
dolly,roate#noils#could#dowly#dooly#dolly,6,3.81
ebony,oater#lenos#enoki#ebony,4,3.72
pesto,roate#lento#sexto#pesto,4,3.27
vodka,orate#salon#chiao#douma#vodka,5,3.34
skunk,roate#lysin#snuck#spunk#skunk,5,3.23
filth,roate#lints#milty#filth,4,3.82
fauna,oater#nails#cajun#kanzu#maund#fauna,6,3.63
octet,roate#telos#oncet#octet,4,3.97
digit,oater#lints#tichy#digit,4,3.44
reply,oater#leirs#redly#reply,4,3.35
model,oater#solei#loden#yodel#model,5,3.21
eerie,oater#riels#crine#kyrie#eerie,5,3.48
clued,roate#silen#cluey#clued,4,3.22
sword,oater#roils#scorn#sword,4,4.17
spool,orate#linos#splog#spool,4,3.4
friar,roate#liras#invar#briar#friar,5,3.4
flier,oater#siler#plier#flier,4,3.55
aisle,orate#aisle,2,3.31
sheer,orate#leirs#syren#super#sheer,5,3.79
racer,roate#rales#ramen#raced#racer,5,2.98
micro,roate#shorl#micro,3,3.73
kinky,oater#lysin#mincy#dingy#hinky#pinky#zinky#kinky,8,3.64
shunt,roate#tulsi#shunt,3,3.77
funny,oater#lysin#cundy#hunky#bungy#punny#funny,7,3.71
droll,orate#droil#drool#droll,4,3.44
meaty,oater#leats#neath#peaty#meaty,5,4.02
radii,oater#rails#ranid#radix#radii,5,3.52
spank,oater#slain#snack#shank#spank,5,3.74
merry,orate#riels#nuder#mercy#merry,5,4.24
brawn,orate#urali#crans#drawn#prawn#brawn,6,3.46
crump,oater#nirls#crudy#crump,4,3.73
snarl,roate#liars#snarl,3,3.61
shady,orate#snail#scaud#shady,4,3.43
fluid,roate#lysin#bluid#fluid,4,3.72
ionic,roate#loins#yonic#monic#ionic,5,3.75
basal,orate#nails#palsy#sabal#basal,5,3.49
udder,oater#slier#under#udder,4,3.3
abhor,oater#solar#amour#abhor,4,3.35
voila,oater#sloan#auloi#logia#voila,5,4.12
crypt,oater#tirls#runty#crypt,4,3.99
choir,oater#milor#choir,3,3.83
blaze,oater#aisle#plane#clade#blame#blaze,6,3.81
loyal,orate#salon#idola#copal#joual#kogal#loyal,7,3.88
niece,oater#lenis#niche#niece,4,3.51
prone,oater#eorls#irone#crone#drone#prone,6,3.76
oddly,orate#oulks#oboli#oddly,4,3.82
chute,oater#steil#centu#chute,4,3.73
print,orate#trild#grist#print,4,4.2
muddy,oater#lysin#duchy#pudgy#muddy,5,3.18
wooer,roate#lores#goier#doner#coyer#fouer#hoper#mower#woker#wooer,10,3.87
zonal,roate#solan#nodal#monal#zonal,5,3.84
aloud,oater#sloan#aloud,3,3.61
gland,oater#slain#clang#gland,4,3.67
igloo,oater#linos#igloo,3,3.49
hippo,roate#linos#dimbo#hippo,4,3.44
joker,roate#lores#goier#doner#coyer#fouer#hoper#mower#boxer#joker,10,3.53
bless,oater#nelis#exuls#clems#gleys#plebs#bless,7,4.05
close,orate#socle#close,3,3.74
gavel,oater#lanes#haled#camel#gavel,5,4.05
eaten,oater#laten#paten#eaten,4,4.45
chase,roate#slane#usage#chase,4,3.92
burst,oater#tirls#curst#durst#hurst#burst,6,3.88
zesty,oater#teils#pesty#festy#zesty,5,3.91
quoth,oater#toils#punto#quoth,4,3.68
gorge,oater#eorls#morne#corbe#horde#porge#forge#gorge,8,3.97
knelt,roate#tiles#glent#knelt,4,4.02
stone,oater#telos#steno#stone,4,4.14
sniff,roate#lysin#incus#knish#sniff,5,3.62
bring,roate#nirls#incur#briny#bring,5,3.64
spray,roate#laris#scran#surah#spray,5,4.2
tweet,roate#teils#thegn#tweet,4,3.72
prose,oater#eorls#snore#prose,4,3.76
rusty,oater#tirls#crust#rusty,4,3.34
shark,oater#rials#crash#sharn#shard#sharp#shark,7,4.15
scout,oater#toils#stoun#scout,4,4.33
folio,oater#noils#dolci#bolix#polio#folio,6,3.85
royal,oater#soral#royal,3,4.21
mayor,oater#labor#sapor#nagor#mayor,5,3.99
price,orate#brule#crise#drice#price,5,3.73
sooty,orate#clots#sooty,3,3.8
dingo,oater#linos#zinco#dingo,4,3.38
stain,roate#slant#stain,3,3.83
burly,oater#nirls#curly#hurly#murly#gurly#burly,7,3.32
clamp,roate#slain#clamp,3,3.4
bully,oater#lysin#duply#muhly#fugly#cully#bully,7,3.61
petal,oater#setal#petal,3,3.73
grimy,oater#nirls#chiru#yrivd#primy#grimy,6,4.1
weedy,orate#lines#chewy#weedy,4,3.92
trite,oater#relit#tiers#trine#trice#tride#tripe#tribe#trike#trite,10,3.91
greed,roate#slier#urned#erred#creed#dreed#preed#greed,8,3.78
moody,oater#lions#choux#doody#moody,5,3.73
broad,oater#soral#groan#croak#broad,5,4.43
nanny,roate#anils#nauch#nawab#nappy#naggy#navvy#nanny,8,4.1
topaz,roate#lotsa#toman#today#topaz,5,3.77
unmet,roate#steil#tench#unmet,4,4.25
throb,roate#lirot#tyros#throb,4,4.12
being,oater#elsin#yince#neigh#being,5,4.01
brute,oater#relit#stern#truce#brute,5,4.09
rainy,oater#lairs#rainy,3,4.37
teary,oater#alert#tears#teary,4,4.3
staff,oater#alist#tunas#stack#stagy#staph#staff,7,3.78
sling,orate#lysin#sling,3,3.82
chess,oater#lenis#eughs#chems#chefs#chews#chess,7,3.61
deign,oater#liens#genic#neigh#deign,5,4.45
speed,roate#nelis#speck#speug#spewy#speed,6,3.76
baggy,orate#anils#gaucy#daggy#baggy,5,3.94
adorn,oater#soral#aroid#adorn,4,4.14
lager,roate#seral#lacer#layer#lader#lamer#lager,7,3.96
limit,roate#tulsi#clint#light#limit,5,4.39
flunk,oater#lysin#clung#plunk#blunk#flunk,6,4.04
plant,roate#slant#plant,3,3.85
deter,oater#liter#cuter#ester#deter,5,3.68
gaffe,orate#aisle#dance#mauve#payee#gaffe,6,3.62
clerk,oater#riels#clerk,3,4.11
panic,oater#nails#canid#panic,4,3.87
juror,oater#milor#sudor#furor#juror,5,3.91
tiger,orate#liter#timer#tiger,4,3.91
sauce,orate#aisle#sayne#sauce,4,3.83
morph,oater#loirs#round#corby#morph,5,4.0
sandy,roate#nails#sandy,3,3.78
woman,orate#sloan#cowan#woman,4,4.06
crony,oater#loris#crony,3,3.71
tubal,orate#alist#talcy#tubal,4,3.99
share,roate#urase#snare#scare#share,5,3.77
unity,orate#lints#unity,3,3.73
barge,oater#earls#carve#barye#barde#barge,6,4.2
totem,roate#toles#toney#toped#totem,5,4.28
edify,oater#nelis#juice#edify,4,3.87
hefty,roate#celts#deity#genty#hefty,5,3.97
began,orate#lanes#eniac#geyan#began,5,4.65
motor,roate#torsi#court#motor,4,3.92
paler,roate#seral#lacer#haler#paler,5,4.24
solve,oater#enols#louse#solde#solve,5,4.02
shiny,oater#lysin#shiny,3,4.37
taker,orate#taler#taser#taper#tamer#taber#taker,7,5.23
refit,roate#relit#resit#recit#remit#rebit#refit,7,4.01
shank,oater#slain#snack#shank,4,4.1
slope,oater#noels#close#slope,4,4.64
match,oater#latus#patin#match,4,4.15
toast,oater#tolas#toast,3,3.87
adept,oater#tesla#axite#ahent#adept,5,3.99
myrrh,orate#nirls#curdy#myrrh,4,4.36
comet,orate#telos#noted#comet,4,4.27
glint,roate#sluit#clint#glint,4,3.94
usurp,roate#nirls#crusy#usurp,4,4.18
trove,oater#torse#trone#trode#trope#troke#trove,7,4.72
couch,roate#noils#coypu#cough#couch,5,4.07
elbow,oater#noels#helio#elogy#elbow,5,4.55
chide,orate#slice#chine#chide,4,4.37
belch,orate#lines#chelp#belch,4,4.26
foray,oater#soral#korai#coram#foray,5,4.62
amaze,roate#slane#image#amaze,4,3.84
bonus,roate#noils#conus#bonus,4,4.12
range,orate#raile#rance#range,4,4.2
dilly,orate#lysin#dimly#dilly,4,3.89
cynic,roate#lysin#cynic,3,4.49
swift,oater#lints#stich#swift,4,4.39
usage,roate#slane#usage,3,3.77
shush,oater#lysin#ducks#shush,4,4.22
wimpy,oater#lysin#juicy#midgy#wimpy,5,5.02
bound,orate#noils#poncy#hound#mound#bound,6,4.89
tibia,oater#alist#pinta#tibia,4,4.73
circa,orate#rails#dinar#mirza#virga#wirra#circa,7,4.39
pause,oater#salue#cause#hause#pause,5,4.23
orbit,orate#orbit,2,4.26
alter,orate#taler#alter,3,4.55
acrid,oater#rials#agrin#acrid,4,3.97
touch,roate#toils#towny#touch,4,4.4
aside,oater#aisle#aside,3,4.48
dowdy,roate#noils#coypu#howdy#dowdy,5,4.52
spine,roate#slice#snide#shine#spine,5,4.55
rover,roate#roles#rouen#ropey#robed#roger#roker#rower#rover,9,4.17
revel,orate#leirs#redly#repel#rebel#refel#revel,7,4.52
pygmy,oater#lysin#hyphy#pygmy,4,4.08
dopey,oater#solei#coney#dopey,4,4.5
mucus,oater#lysin#ducks#mucus,4,4.15
windy,orate#lysin#mincy#dingy#kindy#windy,6,4.22
scrum,roate#nirls#scrum,3,4.46
tamer,oater#taler#taser#taper#tamer,5,4.04
upper,roate#slier#under#umber#urger#upper,6,4.68
sally,roate#anils#sadly#sally,4,4.46
booze,oater#noels#cogie#pouke#howbe#booze,6,4.62
debut,orate#islet#meynt#fecht#debut,5,4.63
taunt,oater#tails#tabun#taunt,4,4.2
three,oater#tires#tyred#threw#three,5,4.03
exert,orate#tiler#stern#chert#evert#exert,6,3.95
syrup,oater#nirls#scrum#syrup,4,3.79
apnea,roate#lanes#acned#apnea,4,4.27
intro,oater#rotls#intro,3,4.26
guise,oater#liens#spice#guise,4,4.32
stout,oater#toils#snout#scout#shout#spout#smout#stout,8,4.86
blend,oater#liens#blend,3,4.34
stove,roate#stole#stone#stope#stoke#stove,6,4.33
locus,orate#noils#locus,3,4.74
quilt,oater#lints#clipt#guilt#built#quilt,6,4.09
utile,oater#steil#utile,3,4.47
fussy,orate#lysin#cushy#dusky#mussy#gussy#fussy,7,4.6
torso,orate#rotls#torsi#torsk#torso,5,4.47
chain,orate#snail#chain,3,4.05
blink,roate#lysin#cling#blind#blink,5,5.18
savor,oater#labor#sapor#savor,4,4.24
given,oater#silen#dizen#mixen#given,5,4.31
tying,orate#sluit#tying,3,4.67
queen,roate#liens#queyn#queen,4,3.98
dowry,orate#loris#yourn#cowry#dowry,5,4.1
flask,oater#anils#clash#plasm#flask,5,4.23
rivet,oater#tries#rivet,3,3.93
ninny,oater#lysin#mincy#dingy#hinky#pinny#finny#ninny,8,4.51
pleat,orate#stela#cleat#pleat,4,4.96
reach,oater#lears#reach,3,4.1
penne,oater#elsin#dunce#penne,4,4.46
bluer,roate#leirs#cruel#gluer#bluer,5,4.79
reedy,orate#leirs#nerdy#reedy,4,4.34
boney,oater#solei#coney#honey#poney#money#boney,7,4.39
total,oater#lotsa#notal#dotal#total,5,4.46
sunny,roate#lysin#sunny,3,4.51
slant,oater#alist#slant,3,5.44
these,oater#stile#teste#these,4,4.87
swirl,oater#nirls#skirl#swirl,4,4.38
power,orate#soler#goier#doner#coyer#fouer#hoper#poker#power,9,4.9
stamp,oater#alist#staun#stack#stagy#staph#stamp,7,4.69
gloat,oater#loast#aloft#ploat#gloat,5,4.73
mason,orate#solan#ascon#mason,4,4.59
wryly,oater#nirls#rumly#dryly#wryly,5,4.79
bayou,orate#sloan#cobia#abmho#bayou,5,4.37
trout,oater#lirot#roust#crout#grout#trout,6,4.45
bride,oater#leirs#ering#cripe#drive#bride,6,4.68
randy,roate#rails#ranch#randy,4,4.85
reign,roate#riels#repin#reign,4,4.63
order,oater#older#order,3,4.49
blown,oater#noils#clonk#blown,4,4.1
verve,oater#leirs#rebuy#perch#nerve#kerve#verve,7,4.07
shirk,roate#nirls#crisp#shirk,4,4.96
ready,oater#lears#reach#ready,4,4.75
solar,orate#soral#solar,3,4.63
cover,roate#loser#goier#doner#coyer#coper#comer#cower#cover,9,4.87
stung,oater#lints#shunt#stung,4,5.51
agree,roate#carle#ayrie#agree,4,4.71
salty,oater#tails#salty,3,4.84
mirth,oater#tirls#virtu#yirth#mirth,5,4.62
swell,orate#nelis#slued#shelf#spelk#smell#swell,7,5.05
buddy,oater#lysin#duchy#pudgy#muddy#buddy,6,4.84
image,oater#aisle#image,3,4.77
bland,orate#snail#clang#bland,4,4.54
demon,oater#noels#eikon#demon,4,5.13
sower,roate#eorls#noser#soger#sober#sower,6,4.83
greet,oater#tries#cruet#greet,4,4.82
newly,oater#elsin#uncle#newly,4,4.41
talon,oater#salto#talon,3,4.53
would,oater#loins#could#mould#would,5,4.72
savoy,roate#sloan#sajou#savoy,4,4.84
album,roate#anils#almud#algum#album,5,4.96
goody,oater#noils#coypu#howdy#doody#moody#goody,7,4.41
adult,roate#tails#adult,3,4.53
worry,roate#loris#cornu#dormy#porgy#forby#worry,7,4.41
girly,roate#nirls#mirly#girly,4,4.76
suave,oater#aisle#spane#suave,4,4.91
kappa,oater#nails#gaucy#dadah#pampa#kappa,6,4.69
crack,oater#liras#franc#crapy#crack,5,5.16
scone,orate#close#scone,3,4.59
cluck,roate#lysin#mulch#pluck#cluck,5,4.55
parer,oater#laser#namer#caper#payer#pager#pawer#paver#parer,9,4.74
tabby,roate#tails#tabun#tabby,4,5.23
annul,roate#anils#annal#annul,4,4.62
grind,orate#vrils#briny#drink#grind,5,4.37
gully,oater#lysin#duply#muhly#fugly#gully,6,4.98
arbor,roate#carol#arson#ardor#armor#arbor,6,5.13
loser,oater#soler#loser,3,4.53
grout,oater#triol#grots#grout,4,4.5
rupee,roate#rifle#rhyne#reuse#rupee,5,4.58
scamp,oater#anils#scaud#scamp,4,4.44
group,oater#roils#crony#proud#group,5,4.79
foyer,orate#loser#goier#doner#coyer#foyer,6,5.1
pilot,oater#toils#pilot,3,5.3
geeky,oater#liens#chewy#deedy#geeky,5,4.37
brook,oater#loris#crony#proud#brogh#broom#brook,7,4.69
gross,orate#droil#crons#vrous#proms#groks#grows#gross,8,4.84
earth,oater#earst#earth,3,4.56
livid,orate#lysin#ludic#lipid#livid,5,4.27
skimp,oater#lysin#scudi#skimp,4,4.52
regal,orate#rales#renal#recal#regal,5,4.84
puppy,orate#lysin#duchy#bumpy#yuppy#guppy#puppy,7,4.42
mushy,orate#lysin#cushy#pushy#mushy,5,4.59
eight,oater#steil#unite#eight,4,4.72
mocha,oater#loans#cobia#mocha,4,4.84
itchy,orate#sluit#tying#itchy,4,4.27
dryer,oater#slier#under#dreer#dryer,5,5.63
spark,oater#rials#crash#snary#spard#spark,6,4.66
story,roate#triol#snort#story,4,4.86
drove,oater#eorls#irone#crome#droke#drove,6,4.88
boozy,oater#linos#coypu#howdy#boomy#boogy#booby#boofy#booky#boozy,10,4.76
uncle,roate#slice#uncle,3,4.48
poise,roate#socle#bosie#noise#hoise#poise,6,4.48
avian,roate#anils#acing#apian#avian,5,4.72
coast,oater#tolas#costa#coast,4,4.6
palsy,oater#nails#palsy,3,4.21
exist,orate#lites#stein#exist,4,4.66
hobby,oater#noils#coypu#howdy#hooky#hobby,6,4.7
soggy,roate#noils#copsy#bosky#soddy#soggy,6,4.99
speck,orate#liens#speck,3,4.33
spent,oater#steil#suety#scent#shent#spent,6,4.86
rerun,oater#riels#rebuy#redux#revue#rerun,6,5.2
flesh,orate#lenis#slued#plesh#flesh,5,4.73
rabbi,orate#liras#cairn#rahui#radii#rabbi,6,5.19
