answer,guessed,num_guessed,time_to_solve
scout,arose#lions#scout,3,2.08
flaky,arose#dital#balun#clamp#glazy#flaky,6,2.32
topic,aeros#doilt#tonic#topic,4,2.29
ashen,arose#aides#ashet#ashen,4,2.09
queue,aeros#elint#cubed#queue,4,2.08
logic,aeros#lotic#logic,3,1.89
rebus,aeros#reins#rebus,3,2.25
guilt,soare#until#culti#guilt,4,2.52
dowel,arose#teloi#olden#loued#dowel,5,2.09
mambo,soare#talon#daiko#campo#gambo#zambo#jambo#mambo,8,2.3
obese,soare#those#obese,3,2.52
etude,arose#tuile#chute#etude,4,2.2
plume,soare#utile#lunge#blude#plume,5,2.54
undid,arose#until#unbid#unkid#undid,5,1.93
roach,arose#rotal#roach,3,2.76
timid,soare#unlit#typic#timid,4,2.32
blown,aeros#lotic#blond#blown,4,2.1
alloy,arose#altho#alloy,3,2.0
ovate,arose#coate#ovate,3,2.09
virus,aeros#tirls#pirns#virus,4,2.22
ultra,soare#ultra,2,1.91
antic,aeros#adult#actin#antic,4,2.19
glint,aeros#unlit#clint#glint,4,2.62
trove,arose#trone#trode#trope#troke#trove,6,2.19
usher,soare#reist#luser#usher,4,2.15
bevel,aeros#lenti#velum#devel#bevel,5,2.17
daddy,aeros#cital#yamun#bawdy#daddy,5,2.24
allay,soare#cital#unlay#allay,4,2.26
tread,arose#tread,2,2.23
shame,arose#slate#snake#suave#scape#shade#shame,7,3.04
plied,aeros#enlit#ileum#clied#plied,5,2.27
extra,arose#later#extra,3,2.27
cress,aeros#rites#erhus#grens#creds#creps#crems#crews#cress,9,2.25
croak,arose#troad#groan#croak,4,2.09
swine,arose#stile#snide#shine#spine#swine,6,2.16
alike,arose#axite#aline#alike,4,2.63
route,arose#ronte#route,3,2.09
blast,arose#clast#plast#blast,4,2.27
bulky,aeros#until#lucky#hulky#bulky,5,2.44
belch,soare#lenti#velum#belch,4,2.39
stoke,soare#stole#stone#stope#stoke,5,2.3
abhor,arose#actor#algor#abhor,4,2.03
honey,aeros#toile#coney#honey,4,2.51
revue,soare#trine#ruble#revue,4,2.17
picky,soare#unlit#dicky#picky,4,2.29
crook,arose#droit#proul#crony#cromb#crook,6,2.34
sharp,arose#slart#snary#scarp#sharp,5,2.56
focal,soare#tolan#joual#copal#focal,5,2.55
child,soare#until#child,3,2.19
exult,soare#lenti#culet#exult,4,2.95
snuck,arose#lints#snuck,3,2.29
droll,soare#lirot#clour#prowl#droll,5,2.81
plate,soare#thale#plate,3,2.33
paler,aeros#ratel#lacer#haler#paler,5,2.62
crass,soare#trans#krais#crays#craps#crams#crags#crabs#craws#crass,10,2.7
foray,orate#soral#korai#coram#foray,5,2.52
patch,roate#litas#natch#patch,4,2.58
willy,orate#lysin#dimly#hiply#bigly#filly#willy,7,2.35
fishy,roate#lysin#dishy#fishy,4,2.18
query,oater#liers#quern#query,4,2.25
rowdy,roate#roils#round#rowdy,4,2.38
pasta,roate#lants#saith#pasty#pasta,5,2.24
