answer,guessed,num_guessed,time_to_solve
serif,sease#senor#serry#seric#serif,5,2.08
havoc,eases#radar#paolo#oakum#baton#cahow#havoc,7,2.38
witch,areae#sools#innit#titup#ditch#mitch#hitch#gitch#fitch#witch,10,2.21
shark,areae#soars#starr#snarl#spard#scary#shark,7,2.33
teeth,areae#seels#keeno#beedi#teeth,5,2.31
junto,areae#soots#ditto#pluto#junto,5,1.84
hurry,areae#rosts#cirri#lurry#durry#hurry,6,2.03
tonic,areae#soots#lotic#tonic,4,1.87
folly,areae#soots#colly#dolly#polly#holly#molly#golly#folly,9,1.99
petal,areae#essay#petal,3,1.73
moron,areae#torrs#corno#moron,4,2.43
dingo,areae#soots#hillo#zinco#dingo,5,1.97
alive,areae#aisle#aline#alike#alive,5,1.77
blaze,areae#tasse#loave#plane#clade#blame#blaze,7,2.15
tulle,areae#sonse#title#tulle,4,1.83
sloop,areae#soots#snool#sloop,4,1.8
buddy,areae#soots#dilli#undug#cuddy#puddy#muddy#buddy,8,2.74
harem,areae#raser#oared#caret#paren#harem,6,2.83
beady,areae#oases#exalt#meany#deawy#heady#beady,7,2.37
vista,areae#tasso#vista,3,2.09
drier,areae#ergos#trier#crier#drier,5,1.99
swoop,areae#soots#snool#scoop#swoop,5,2.84
world,areae#rorts#corno#zoril#lordy#world,6,2.41
whine,areae#sonse#unite#cline#imine#dwine#whine,7,1.87
emcee,areae#seise#emote#emule#emyde#emcee,6,1.84
weird,areae#serrs#metro#weird,4,2.79
feral,areae#escar#reran#terai#feral,5,2.36
every,areae#seers#evert#every,4,1.86
bagel,areae#zooea#tases#lapel#navel#camel#bagel,7,2.33
snuff,areae#soots#slily#sunup#snuck#snuff,6,2.37
chaos,areae#taboo#jiaos#chaos,4,2.64
dummy,areae#soots#dilli#dunny#duchy#duppy#dummy,7,2.03
hardy,areae#roars#tarty#lardy#cardy#hardy,6,2.2
baron,areae#roars#karoo#tarot#carol#maron#baron,7,2.5
triad,areae#briar#crias#trial#triad,5,1.94
usher,areae#sorer#usher,3,2.16
unity,areae#soots#tilth#unity,4,2.07
maxim,areae#taboo#lassi#canid#hakim#maxim,6,2.27
rusty,areae#rotor#rusts#rusty,4,2.22
lasso,areae#taboo#lasso,3,2.13
boxer,areae#sorer#cooer#toter#loner#goier#fouer#yoker#doper#homer#bower#boxer,12,2.42
scoff,areae#soots#sloid#swoun#shock#scoff,6,1.94
using,areae#soots#lysin#using,4,2.01
groin,areae#orris#droit#broil#proin#groin,6,2.14
ratio,areae#sorra#ratoo#ratio,4,2.6
zebra,areae#raser#enarm#tetra#lepra#hejra#zebra,7,2.91
mince,areae#soote#mille#mince,4,1.98
parer,areae#serra#earnt#rared#carer#yarer#parer,7,2.55
scarf,areae#sorra#sairs#start#snarl#scary#scarp#scarf,8,2.39
afoul,areae#aloos#atoll#aboil#afoul,5,1.85
water,areae#rares#oater#tater#later#cater#dater#hater#pater#mater#gater#water,12,2.73
segue,areae#cooee#esile#sense#segue,5,2.14
evoke,areae#cooee#emote#elope#exode#evohe#evoke,7,1.9
dozen,areae#ooses#toted#loden#doyen#doven#dozen,7,2.66
wheat,areae#toeas#cleat#wheat,4,2.13
wield,areae#oleos#knelt#quell#yield#bield#field#wield,8,2.15
aorta,areae#aorta,2,2.09
lathe,areae#haole#lathe,3,1.91
squib,areae#toots#slish#sinky#squid#squib,6,2.36
patsy,areae#taboo#matts#satin#patsy,5,2.46
