answer,guessed,num_guessed,time_to_solve
vivid,resee#alapa#nooit#bifid#vivid,5,1.79
quark,resee#araba#gnarr#claro#imari#tuart#quark,7,2.06
papal,resee#alaap#palay#papal,4,2.47
paste,resee#ansae#sasse#taste#caste#paste,6,1.95
manly,resee#alapa#baloo#maill#manly,5,2.03
grade,resee#aurae#paire#orate#crane#drake#grade,7,1.83
gayer,resee#airer#oater#lacer#namer#daker#yager#gayer,8,1.84
sedan,resee#seats#sepal#sedan,4,1.93
umbra,resee#araba#borna#libra#umbra,5,2.28
crumb,resee#araba#brool#crumb,4,2.51
funky,resee#taata#ovolo#kinin#punky#hunky#gunky#funky,8,2.26
nadir,resee#araba#maror#tapir#nadir,5,2.08
groin,resee#araba#grrrl#groom#grout#groin,6,2.11
level,resee#teaed#lemel#level,4,1.76
unmet,resee#zoaea#intel#unmet,4,2.03
anime,resee#alate#anode#anime,4,1.88
mango,resee#taata#paolo#danio#banco#mango,6,1.93
couch,resee#taata#ovolo#ionic#couch,5,1.97
spicy,resee#asana#stoss#silly#spicy,5,2.16
bawdy,resee#taata#paolo#iambi#bandy#baddy#bawdy,7,2.05
colon,resee#taata#ovolo#lolog#colon,5,2.03
sever,resee#serer#seder#sefer#sewer#sever,6,1.88
anvil,resee#taata#agloo#ahull#anvil,5,2.1
acorn,resee#araba#actor#acorn,4,2.08
study,resee#asana#stoss#stilt#stuck#study,6,2.29
alpha,resee#taata#aloha#alpha,4,2.13
prove,resee#aurae#crore#trone#drole#probe#proke#prove,8,2.01
braid,resee#araba#bravo#brant#brail#braid,6,2.75
natal,resee#taata#natal,3,2.37
ombre,resee#aurae#crore#ombre,4,2.14
retch,resee#reata#retro#retch,4,2.13
brunt,resee#araba#brool#britt#brunt,5,2.2
rearm,resee#reata#rearm,3,2.01
click,resee#taata#ovolo#xylyl#linin#click,6,2.22
grail,resee#araba#urari#trait#drail#grail,6,2.15
savoy,resee#asana#sados#sabot#salol#sajou#savoy,7,2.44
tamer,resee#arret#oater#taler#taper#tamer,6,1.95
yield,resee#eclat#olein#yield,4,2.08
scare,resee#soare#stare#snare#scare,5,2.0
grope,resee#aurae#crore#trone#drole#probe#grope,7,1.92
ultra,resee#araba#morra#ultra,4,2.09
utter,resee#arret#toter#utter,4,2.12
vital,resee#taata#afoot#litai#cital#dital#vital,7,2.15
abyss,resee#asana#aloos#amiss#abyss,5,2.23
kappa,resee#taata#haoma#nalla#facia#yabba#dagga#kappa,8,2.15
bravo,resee#araba#bravo,3,2.4
tulle,resee#alate#toile#tulle,4,2.41
scale,resee#abase#soave#state#slane#scale,6,2.09
chide,resee#alate#ohone#chide,4,1.98
given,resee#zoaea#inlet#cunei#nided#mixen#given,7,2.1
hefty,resee#aecia#petto#lefty#hefty,5,2.05
cower,resee#arret#cooer#coyer#coder#coper#comer#cower,8,2.22
tweak,resee#eclat#tweak,3,2.16
dream,resee#earnt#arear#oread#dream,5,2.27
lease,resee#sease#tease#lease,4,2.12
lanky,resee#taata#paolo#laldy#lanky,5,2.36
noble,resee#alate#looie#dolce#noule#noble,6,2.09
brook,resee#araba#brool#brood#broom#brook,6,2.38
fancy,resee#taata#paolo#iambi#nanny#candy#fancy,7,2.42
snout,resee#asana#snoot#snout,4,2.63
verve,resee#aerie#terne#merle#cerge#herye#perve#kerve#verve,9,2.13
cumin,resee#taata#ovolo#kinin#cumin,5,2.73
query,resee#earnt#credo#fiery#query,5,3.45
nylon,resee#taata#ovolo#colin#nylon,5,2.28
valid,resee#taata#paolo#laldy#calid#halid#valid,7,2.23
unset,resee#oases#inset#unset,4,2.31
petal,resee#aecia#beano#petal,4,2.18
piper,resee#arret#cooer#iller#niner#dimer#hiker#piper,8,2.27
snaky,resee#asana#noahs#stain#snack#snaky,6,2.88
knave,resee#alate#poake#knawe#knave,5,2.2
sissy,resee#tassa#mosso#sissy,4,2.35
haute,resee#alate#patte#waite#zante#haute,6,2.16
crone,resee#aurae#crore#crone,4,2.31
slurp,resee#arars#snort#skirl#slurp,5,2.53
joust,resee#asana#toots#potsy#hoist#moust#joust,7,2.6
catch,resee#taata#matlo#patin#catch,5,2.59
swill,resee#asana#ottos#silly#shill#spill#skill#swill,8,2.66
round,resee#radar#rondo#round,4,2.13
mogul,resee#taata#ovolo#colin#lough#mogul,6,2.44
eclat,resee#eclat,2,2.26
