answer,guessed,num_guessed,time_to_solve
truer,sayne#goier#tuber#truer,4,1.3
owner,sayne#toner#owner,3,1.39
elegy,sayne#corey#deity#gleby#elegy,5,1.4
flown,sayne#porin#clown#blown#flown,5,1.37
scout,sayne#sohur#scout,3,1.37
apron,sayne#ngaio#toran#apron,4,1.4
uncut,sayne#porin#bundt#uncut,4,1.37
clove,sayne#forte#biome#cloke#clove,5,1.4
aloof,sayne#boart#cloak#aloud#aloha#aloof,6,1.43
manic,sayne#manor#manic,3,1.29
palsy,sayne#karsy#daisy#patsy#palsy,5,1.41
spear,sayne#spaer#spear,3,1.38
amend,sayne#beano#ahent#amend,4,1.35
grave,sayne#roate#irade#crape#brake#frame#grave,7,1.43
ditto,sayne#mohur#viold#dicot#ditto,5,1.39
cairn,sayne#manor#naric#cairn,4,1.46
cloth,sayne#mohur#choil#cloth,4,1.43
tibia,sayne#boart#tubal#tibia,4,1.46
ought,sayne#mohur#quoth#oucht#ought,5,1.46
rotor,sayne#mohur#rotor,3,1.41
delta,sayne#hoaed#cedar#delta,4,1.52
decoy,sayne#corey#decoy,3,1.47
false,sayne#carse#paise#tawse#halse#false,6,1.45
glare,sayne#roate#irade#blare#flare#glare,6,1.48
azure,sayne#roate#argle#afire#azure,5,1.46
dingo,sayne#porin#nicol#bingo#dingo,5,1.48
slash,sayne#shako#spahi#scath#slash,5,1.46
digit,sayne#mohur#clipt#fixit#digit,5,1.56
spoke,sayne#socle#store#shope#spode#spoke,6,1.48
creme,sayne#forte#cripe#crude#creme,5,1.49
moral,sayne#boart#polar#coral#horal#goral#moral,7,1.52
hedge,sayne#forte#clipe#budge#hedge,5,1.49
basis,sayne#fatso#basil#basic#basij#basis,6,1.51
rearm,sayne#hoaed#peart#rearm,4,1.57
vista,sayne#roast#vista,3,1.57
wedge,sayne#forte#clipe#budge#hedge#kedge#wedge,7,1.54
flirt,sayne#mohur#dript#flirt,4,1.56
brass,sayne#roast#crash#grasp#brass,5,1.58
baste,sayne#carse#baste,3,1.52
rifle,sayne#forte#grufe#rifle,4,1.59
baker,sayne#pareo#taler#caber#baker,5,1.46
world,sayne#mohur#toric#world,4,1.49
alter,sayne#hoaed#ariel#alter,4,1.58
refit,sayne#goier#merit#relit#recit#rebit#refit,7,1.55
quill,sayne#mohur#built#guild#quill,5,1.53
glaze,sayne#roate#image#glace#glade#glaze,6,1.56
aping,sayne#piano#aping,3,1.48
toddy,sayne#borty#tocky#touzy#tolly#toppy#toffy#toddy,8,1.58
hairy,sayne#tardy#lairy#hairy,4,1.51
revue,sayne#forte#cripe#umbre#revue,5,1.57
couch,sayne#mohur#touch#pouch#gouch#vouch#couch,7,1.58
