answer,guessed,num_guessed,time_to_solve
whelp,sycee#reata#boeuf#wield#whelp,5,1.85
gecko,sycee#aecia#decor#gecko,4,1.56
grail,sycee#laari#trail#brail#frail#drail#grail,7,1.66
augur,sycee#laari#douar#augur,4,1.67
might,sycee#laari#nooit#twixt#bight#hight#pight#fight#dight#kight#might,11,1.77
gross,sycee#tassa#pross#dross#gross,5,1.76
steep,sycee#seres#sleet#steen#steep,5,1.56
remit,sycee#reata#repot#relit#rebit#refit#remit,7,2.27
drive,sycee#maare#oorie#trite#urine#bribe#pride#drive,8,1.73
cadet,sycee#caaed#cadet,3,1.55
choke,sycee#apace#cooze#crore#clote#chode#choke,7,1.68
loamy,sycee#gayly#alary#loamy,4,1.73
tubal,sycee#laari#total#tubal,4,1.71
cheer,sycee#ceder#cheer,3,1.6
pivot,sycee#laari#nooit#idiot#pitot#pivot,6,1.73
chute,sycee#apace#cooze#crine#chute,5,1.65
troop,sycee#laari#rotor#wroot#troop,5,1.72
taboo,sycee#laari#taboo,3,1.69
score,sycee#scuse#scare#score,4,1.62
abort,sycee#laari#abort,3,1.68
windy,sycee#gayly#moory#twiny#windy,5,1.78
posse,sycee#rasse#posse,3,1.6
aloud,sycee#laari#total#aloof#aloud,5,1.77
rabbi,sycee#laari#parti#radii#rahui#rangi#rabbi,7,1.75
ramen,sycee#baaed#pareo#rater#ravel#ramen,6,1.69
spelt,sycee#sensa#sheol#sield#spelt,5,1.7
newer,sycee#teaed#ferer#leper#newer,5,1.71
unify,sycee#gayly#moory#twiny#unify,5,1.82
dusky,sycee#lassy#toshy#risky#busky#dusky,6,1.93
ninth,sycee#laari#nooit#ninth,4,1.74
stare,sycee#salse#soare#stare,4,1.68
threw,sycee#baaed#wooer#threw,4,1.69
spied,sycee#saser#solei#stied#shied#spied,6,1.71
easel,sycee#reses#easel,3,1.74
equip,sycee#reata#boeuf#equip,4,1.84
aroma,sycee#laari#arrah#aroba#aroma,5,1.78
truck,sycee#craal#trock#trick#truck,5,1.84
