answer,guessed,num_guessed,time_to_solve
wrist,oaves#sicky#buist#grist#frist#wrist,6,1.45
uncle,oaves#kyrie#bunce#uncle,4,1.42
motel,oaves#corey#hoied#fouet#token#botel#motel,7,1.49
fella,oaves#liane#relay#pelta#belga#cella#fella,7,1.64
stool,oaves#soily#slorm#scowl#stool,5,1.6
siren,oaves#skiey#siren,3,1.94
sever,oaves#syver#siver#sever,4,1.44
liken,sayne#toner#limen#liken,4,1.57
under,sayne#toner#nicer#under,4,1.52
geeky,sayne#corey#deity#kelpy#geeky,5,1.57
sober,sayne#solei#sober,3,1.5
ultra,sayne#coati#tubar#ultra,4,1.56
forge,sayne#moire#forte#force#forge,5,1.51
fling,sayne#point#bring#cuing#fling,5,1.51
tulle,sayne#moire#tuple#tulle,4,1.56
saner,sayne#saner,2,1.49
dodge,sayne#moire#touze#coble#podge#wodge#dodge,7,1.59
clack,sayne#coati#crawl#clamp#clach#clack,6,1.67
chime,sayne#moire#clime#chime,4,1.63
wreak,sayne#hoaed#terai#ureal#cream#break#freak#wreak,8,1.87
sweep,sayne#solei#suber#shmek#sedes#sweet#sweep,7,1.62
erupt,sayne#goier#vertu#eruct#erupt,5,1.6
opine,sayne#koine#opine,3,1.47
steer,sayne#solei#suber#serer#steer,5,1.61
oaken,sayne#oaten#oaken,3,1.54
using,sayne#roins#using,3,1.56
sappy,sayne#savoy#sarky#salty#saucy#sappy,6,1.55
bleat,sayne#hoaed#terai#cleat#bleat,5,1.87
krill,sayne#doilt#whilk#krill,4,2.06
willy,sayne#roily#fitly#bigly#hiply#dimly#willy,7,1.6
baler,sayne#pareo#taler#baler,4,1.68
mossy,sayne#horsy#tousy#copsy#lossy#bossy#mossy,7,1.68
three,sayne#moire#truce#three,4,1.7
movie,sayne#moire#mobie#movie,4,1.67
husky,sayne#horsy#husky,3,1.67
icing,sayne#point#bring#cling#icing,5,1.58
nosey,sayne#tynes#nosey,3,1.98
balmy,sayne#lairy#talcy#baldy#balmy,5,1.61
rebel,sayne#goier#cruet#merel#rebel,5,1.63
earth,sayne#pareo#earth,3,1.54
abbey,sayne#agley#abbey,3,2.27
onset,sayne#rones#onset,3,2.27
green,sayne#toner#ripen#green,4,1.68
howdy,sayne#roily#tocky#womby#howdy,5,1.75
plaza,sayne#coati#brawl#glaum#plaza,5,2.15
water,sayne#pareo#taler#cater#hater#dater#gater#mater#water,9,1.68
shame,sayne#soare#slate#space#suave#shade#shame,7,1.64
grove,sayne#moire#trope#croze#drole#broke#grove,7,1.71
abode,sayne#roate#olpae#adobe#abode,5,1.69
waste,sayne#raise#caste#baste#paste#haste#waste,7,1.67
widen,sayne#toner#limen#hizen#widen,5,1.72
apnea,sayne#alien#awner#acned#apnea,5,1.79
round,sayne#point#cornu#round,4,1.63
murky,sayne#roily#crudy#turfy#murky,5,1.8
poesy,sayne#tyres#pesky#poesy,4,1.85
rigid,sayne#doilt#mudir#virid#rigid,5,1.73
place,sayne#roate#image#clade#place,5,1.7
lymph,sayne#roily#lymph,3,1.69
grime,sayne#moire#crime#prime#grime,5,1.65
hater,sayne#pareo#taler#cater#hater,5,1.76
chill,sayne#doilt#whilk#chili#chill,5,1.77
whirl,sayne#doilt#chirl#whirl,4,1.72
thong,sayne#point#tronc#thong,4,1.66
twine,sayne#koine#trine#thine#twine,5,1.81
puppy,sayne#roily#tumpy#yuppy#cuppy#buppy#duppy#guppy#puppy,9,1.81
jolly,sayne#roily#hotly#dowly#cooly#polly#folly#golly#molly#jolly,10,1.82
inlet,sayne#toner#inlet,3,1.78
dense,sayne#noise#tense#cense#lense#dense,6,1.73
scaly,sayne#soapy#scary#scaly,4,1.74
aloft,sayne#coati#groat#aloft,4,1.88
theft,sayne#goier#fecht#wheft#theft,5,1.95
valor,sayne#paoli#valor,3,1.76
swash,sayne#spado#stair#slack#shawm#swash,6,1.82
alpha,sayne#coati#gular#alpha,4,1.82
lager,sayne#pareo#taler#lacer#lader#lager,6,1.88
trust,sayne#roist#crust#brust#frust#trust,6,1.91
crank,sayne#piano#brant#crank,4,1.83
panel,sayne#oaten#caner#panel,4,1.76
whelp,sayne#goier#fecht#whelp,4,1.93
aloof,sayne#coati#broad#afoul#aloof,5,1.83
whole,sayne#moire#thole#dhole#whole,5,1.88
visor,sayne#roist#visor,3,1.91
weigh,sayne#goier#weigh,3,1.81
recur,sayne#goier#lemur#debur#recur,5,1.85
sorry,sayne#soily#softy#soupy#sooky#sorry,6,1.8
utter,sayne#goier#tuber#upter#utter,5,1.89
frost,sayne#roist#crost#prost#frost,5,1.84
visit,sayne#roist#wisht#visit,4,1.84
kneel,sayne#toner#liken#kneel,4,1.96
missy,sayne#horsy#tipsy#cissy#kissy#missy,6,1.98
dying,sayne#corny#tying#lying#hying#dying,6,1.89
dough,sayne#doilt#dough,3,1.9
twixt,sayne#doilt#gript#whift#twixt,5,1.89
octal,sayne#coati#octal,3,1.92
sunny,sayne#stony#spiny#sunny,4,1.82
frond,sayne#point#cronk#brond#frond,5,1.84
spiel,sayne#solei#slier#spiel,4,1.96
tweak,sayne#hoaed#terai#tweak,4,1.98
nasty,sayne#tansy#nasty,3,1.84
downy,sayne#corny#towny#powny#downy,5,1.95
digit,sayne#doilt#dicht#digit,4,1.86
noble,sayne#bonie#noble,3,1.85
pasta,sayne#fatso#basti#casts#rasta#pasta,6,1.97
rupee,sayne#moire#truce#lurve#rupee,5,1.85
doing,sayne#point#boing#hoing#doing,5,1.95
vodka,sayne#coati#bolar#douma#hodja#vodka,6,2.0
plumb,sayne#doilt#lurch#plumb,4,1.91
creak,sayne#hoaed#petar#creak,4,2.0
flock,sayne#mohur#viold#plotz#block#flock,6,2.09
snoop,sayne#sonic#snort#snowk#snobs#snool#snoop,7,1.97
stray,sayne#soapy#stray,3,1.87
scion,sayne#sonic#scion,3,2.03
freak,sayne#hoaed#petar#ureal#creak#break#freak,7,2.13
aback,sayne#boart#abaci#aback,4,2.02
mauve,sayne#haole#targe#baize#wacke#fauve#mauve,7,1.9
canoe,sayne#canoe,2,1.87
scalp,sayne#shako#stair#scalp,4,1.94
globe,sayne#forte#biome#globe,4,1.96
large,sayne#haole#large,3,2.02
irate,sayne#roate#irate,3,1.93
frisk,sayne#torsi#crisp#brisk#frisk,5,1.97
shied,sayne#soler#stied#shied,4,1.95
tiger,sayne#goier#tiger,3,2.04
banjo,sayne#manor#danio#tango#banco#banjo,6,1.99
tying,sayne#corny#tying,3,1.93
crump,sayne#mohur#trump#crump,4,2.16
scrub,sayne#sohur#sirup#strum#scrub,5,1.96
bring,sayne#corni#print#bring,4,1.95
blaze,sayne#roate#image#clade#blaze,5,2.11
awful,sayne#boart#phial#awful,4,2.03
yield,sayne#corey#hexyl#gyeld#yield,5,2.19
buggy,sayne#borty#blimy#buppy#buffy#buddy#buggy,7,2.02
hyper,sayne#corey#tyler#hyper,4,2.11
primo,sayne#mohur#tromp#primo,4,2.04
fifth,sayne#mohur#whipt#filth#fifth,5,2.19
ghoul,sayne#mohur#chout#ghoul,4,2.16
chain,sayne#ngaio#train#blain#chain,5,2.13
topaz,sayne#boart#topaz,3,2.18
carat,sayne#paoli#garth#carat,4,2.18
tooth,sayne#mohur#hoick#fowth#tooth,5,2.08
eclat,sayne#hoaed#petar#cleat#eclat,5,2.1
reedy,sayne#corey#reify#reply#rebuy#reedy,6,2.16
table,sayne#haole#carle#maile#table,5,2.02
forum,sayne#mohur#forum,3,2.0
abort,sayne#boart#abort,3,2.09
nutty,sayne#noily#nurdy#nutty,4,2.2
macho,sayne#paoli#tabor#macho,4,2.05
ditch,sayne#mohur#whipt#filth#ditch,5,2.23
sieve,sayne#socle#surge#shite#semie#sieve,6,2.16
hazel,sayne#pareo#valet#camel#bagel#hazel,6,2.11
timid,sayne#mohur#climb#timid,4,2.15
unfit,sayne#porin#unlit#unfit,4,2.23
snarl,sayne#starn#snarl,3,2.04
tramp,sayne#boart#trail#track#tramp,5,2.26
brand,sayne#piano#brant#brand,4,2.07
trawl,sayne#boart#trail#trawl,4,2.3
spool,sayne#sohur#stoic#slojd#skols#spool,6,2.05
lemur,sayne#goier#lemur,3,2.08
harry,sayne#tardy#parly#carby#karzy#marvy#harry,7,2.18
savoy,sayne#savoy,2,2.1
condo,sayne#porin#donut#condo,4,2.12
prank,sayne#piano#prang#prank,4,2.07
demur,sayne#goier#lemur#femur#demur,5,2.13
dryer,sayne#toyer#plyer#buyer#feyer#cryer#dryer,7,2.31
bonus,sayne#nkosi#bosun#bonus,4,2.31
audio,sayne#boart#cloak#axiom#audio,5,2.33
logic,sayne#mohur#doilt#folic#logic,5,2.2
datum,sayne#paoli#garth#mazut#datum,5,2.31
salon,sayne#salon,2,2.11
goose,sayne#torse#hoise#louse#copse#bowse#fosse#goose,8,2.39
allow,sayne#boart#cloak#aldol#allow,5,2.39
aging,sayne#piano#ahint#acing#aking#awing#axing#aging,8,2.42
pivot,sayne#mohur#viold#pivot,4,2.23
rodeo,sayne#goier#borel#rozet#roped#rodeo,6,2.3
gland,sayne#piano#brant#clang#gland,5,2.12
funny,sayne#corny#twiny#gynny#bunny#punny#funny,7,2.17
crumb,sayne#mohur#trump#crumb,4,2.32
cigar,sayne#boart#urial#cigar,4,2.19
bleep,sayne#goier#bluet#bleep,4,2.2
tower,sayne#goier#toper#toker#tower,5,2.18
clock,sayne#mohur#viold#plotz#block#flock#clock,7,2.18
reign,sayne#toner#reign,3,2.43
final,sayne#ngaio#dinar#binal#final,5,2.42
slush,sayne#sohur#sulph#slush,4,2.36
squat,sayne#shako#sitar#splat#squat,5,2.3
punch,sayne#porin#punch,3,2.28
rower,sayne#goier#toper#lower#cower#bower#dower#mower#vower#rower,10,2.33
musty,sayne#horsy#fisty#lusty#busty#dusty#gusty#musty,8,2.3
abate,sayne#roate#blate#abate,4,2.24
kayak,sayne#payor#daych#gayly#kayak,5,2.2
threw,sayne#goier#cruet#threw,4,2.27
belle,sayne#forte#clipe#bugle#belle,5,2.22
smite,sayne#socle#surge#shite#spite#skite#smite,7,2.42
swept,sayne#soler#sepic#swept,4,2.21
blitz,sayne#mohur#clipt#blitz,4,2.27
jiffy,sayne#borty#chivy#dimly#yippy#figgy#jiffy,7,2.32
havoc,sayne#paoli#tabor#cahow#havoc,5,2.26
surly,sayne#soily#surly,3,2.26
slump,sayne#sohur#sluit#slump,4,2.2
cloak,sayne#boart#cloak,3,2.29
blank,sayne#piano#brant#bland#blank,5,2.21
chest,sayne#loser#heist#chest,4,2.34
grimy,sayne#borty#drily#pricy#grimy,5,2.26
aroma,sayne#boart#croak#aroid#aroha#aroma,6,2.32
batch,sayne#paoli#garth#batch,4,2.21
arena,sayne#beano#ahent#amend#arena,5,2.25
blunt,sayne#corni#blunt,3,2.35
phony,sayne#corny#piony#phony,4,2.45
spasm,sayne#shako#stair#scalp#spasm,5,2.34
older,sayne#goier#twoer#older,4,2.45
satin,sayne#salon#sarin#satin,4,2.37
alike,sayne#roate#pilae#alike,4,2.47
steep,sayne#soler#stied#steep,4,2.43
lapse,sayne#carse#paise#lapse,4,2.28
limit,sayne#mohur#climb#limit,4,2.5
whale,sayne#roate#image#clade#quale#whale,6,2.31
guppy,sayne#borty#chivy#plumy#yuppy#duppy#guppy,7,2.36
blimp,sayne#mohur#climb#blimp,4,2.55
crypt,sayne#goyim#crypt,3,2.35
eager,sayne#pareo#taler#caber#haver#fader#gamer#wager#jager#eager,10,2.39
diode,sayne#forte#biome#diode,4,2.55
scold,sayne#sohur#stoic#scold,4,2.29
noose,sayne#noise#noose,3,2.43
nylon,sayne#noily#nylon,3,2.39
sworn,sayne#sonic#snort#shorn#sworn,5,2.44
atone,sayne#crane#atone,3,2.34
ready,sayne#agley#teary#ready,4,2.52
brick,sayne#mohur#dript#brick,4,2.36
claim,sayne#boart#miaul#claim,4,2.47
gleam,sayne#hoaed#petar#ileac#bleak#fleam#gleam,7,2.54
ether,sayne#goier#tuber#peter#ether,5,2.66
mound,sayne#corni#fount#lound#bound#hound#pound#mound,8,2.45
bulky,sayne#borty#blimy#bulgy#bulky,5,2.47
comet,sayne#goier#volet#comet,4,2.36
cream,sayne#hoaed#petar#ureal#creak#cream,6,2.58
chili,sayne#mohur#whipt#child#chili,5,2.48
hunky,sayne#noily#runty#cundy#bungy#hunky,6,2.55
champ,sayne#boart#miaul#champ,4,2.63
ankle,sayne#knawe#ankle,3,2.53
stuck,sayne#sohur#sluit#stuck,4,2.44
fiber,sayne#goier#tiler#cider#biker#fiber,6,2.44
stoop,sayne#sohur#stoic#stomp#stowp#stoop,6,2.44
child,sayne#mohur#whipt#child,4,2.48
parka,sayne#paoli#parch#parra#parka,5,2.58
