answer,guessed,num_guessed,time_to_solve
ivory,oaves#vomit#ivory,3,1.31
nurse,oaves#sythe#birse#curse#nurse,5,1.37
limit,oaves#dirty#kitul#licht#limit,5,1.45
inter,oaves#ricey#tried#inter,4,1.86
bathe,oaves#fayre#waite#taube#bathe,5,1.4
usual,oaves#scary#alist#gusla#usual,5,1.48
tumor,oaves#roily#crout#tumor,4,1.41
crept,sayne#goier#vertu#crept,4,1.47
rogue,sayne#moire#forte#roule#rogue,5,1.52
harry,sayne#lairy#kaury#tarry#carry#barry#parry#harry,8,1.45
green,sayne#toner#ripen#green,4,1.43
bevel,sayne#goier#culet#lemel#bedel#bevel,6,1.52
plush,sayne#coirs#mulsh#blush#plush,5,1.51
lover,sayne#goier#toper#fouer#coder#lower#lover,7,1.45
wrath,sayne#coati#wrath,3,1.41
whirl,sayne#doilt#chirl#whirl,4,1.45
genre,sayne#bonie#punce#genre,4,1.41
shorn,sayne#sonic#snort#shorn,4,1.96
flush,sayne#coirs#mulsh#blush#plush#flush,6,1.53
geese,sayne#toise#cruse#leese#feese#geese,6,1.49
empty,sayne#corey#deity#empty,4,1.49
fluid,sayne#doilt#lurid#bluid#fluid,5,1.45
booze,sayne#moire#touze#cooze#booze,5,1.42
honey,sayne#toney#coney#boney#poney#honey,6,1.62
whiff,sayne#doilt#crimp#quiff#whiff,5,1.48
tasty,sayne#daisy#raspy#hasty#masty#vasty#tasty,7,1.48
snoop,sayne#sonic#snort#snowk#snobs#snool#snoop,7,1.49
expel,sayne#goier#culet#lemel#wheel#expel,6,1.52
study,sayne#soily#surfy#study,4,1.44
singe,sayne#sonce#singe,3,1.43
fiber,sayne#goier#tiler#cider#biker#fiber,6,1.55
gully,sayne#roily#duply#muhly#fugly#gully,6,1.51
stair,sayne#spado#stair,3,1.46
skier,sayne#solei#spier#shier#skier,5,1.49
ardor,sayne#coati#broad#ardor,4,1.54
flank,sayne#piano#brant#clang#flank,5,1.57
lucky,sayne#roily#culty#lucky,4,1.54
saner,sayne#saner,2,1.51
taker,sayne#pareo#taler#taber#tamer#taker,6,1.56
shack,sayne#spado#stair#slack#shack,5,1.51
berry,sayne#corey#ferly#herby#berry,5,1.66
ionic,sayne#coign#tonic#monic#ionic,5,1.54
baron,sayne#manor#caron#baron,4,1.52
heart,sayne#hoaed#heart,3,1.6
cairn,sayne#manor#cairn,3,1.59
banjo,sayne#manor#danio#tango#banco#banjo,6,1.55
bylaw,sayne#hoary#typal#bylaw,4,1.59
unlit,sayne#coign#linum#unlit,4,1.59
salty,sayne#savoy#sarky#salty,4,1.55
trait,sayne#coati#liart#krait#trait,5,1.6
carve,sayne#haole#paire#targe#carve,5,1.58
brown,sayne#coign#brown,3,1.54
swell,sayne#solei#slept#shelf#skelm#seels#swell,7,1.6
belle,sayne#moire#tuple#belle,4,1.56
spawn,sayne#stain#sharn#spawn,4,1.52
could,sayne#doilt#world#could,4,1.58
happy,sayne#lairy#tacky#dauby#vampy#yappy#pappy#happy,8,1.65
sheep,sayne#solei#suber#shmek#sheet#sheep,6,1.58
showy,sayne#soily#story#scody#showy,5,1.6
trust,sayne#roist#crust#brust#frust#trust,6,1.66
below,sayne#goier#helot#celom#below,5,1.67
blade,sayne#roate#image#clade#blade,5,1.58
mural,sayne#coati#gular#fural#dural#mural,6,1.66
swill,sayne#sodic#shiur#slipt#skill#swill,6,1.63
