answer,guessed,num_guessed,time_to_solve
affix,seres#cacao#bialy#animi#audit#affix,6,1.65
flash,seres#baisa#coast#quash#gnash#plash#flash,7,1.71
bathe,seres#kanae#haole#cache#bathe,5,1.71
exist,seres#abase#poesy#exist,4,1.74
bulge,seres#kanae#looie#cycle#bulge,5,1.76
liken,saree#cooey#ivied#zibet#pixel#linen#limen#liken,8,1.68
deuce,saree#leone#bedye#deice#deuce,5,2.07
teeth,saree#peeoy#beedi#teeth,4,1.67
party,saree#yarak#tarry#party,4,1.67
tumor,saree#dryly#poori#rumor#tumor,5,1.86
leper,saree#reney#peter#leper,4,1.6
elide,saree#yente#opepe#elide,4,1.62
ratio,saree#laari#rainy#ratio,4,1.66
strut,saree#sorts#sprit#strut,4,1.6
enter,saree#reney#treen#enter,4,1.68
bring,saree#dryly#wroot#iring#bring,5,1.68
sperm,sycee#sears#shero#stern#sperm,5,1.69
dowel,sycee#baaed#rodeo#dowel,4,1.8
cleft,sycee#react#clept#cleft,4,2.37
could,sycee#carat#cooch#coign#could,5,1.82
gayly,sycee#gayly,2,1.71
cache,sycee#nacre#tache#cache,4,2.1
nudge,sycee#maare#looie#butte#fugue#gunge#nudge,7,1.72
tease,sycee#fesse#tease,3,1.66
fewer,sycee#teaed#ferer#fewer,4,1.66
rover,sycee#baaed#wooer#goier#porer#roker#rover,7,1.72
manic,sycee#carat#havoc#malic#manic,5,1.8
vouch,sycee#carat#pooch#gouch#mouch#vouch,6,1.82
flyer,sycee#hayey#toyer#pryer#buyer#flyer,6,1.71
space,sycee#scuse#saice#space,4,1.66
aloof,sycee#laari#total#aloof,4,1.77
equal,sycee#reata#paeon#eliad#equal,5,1.79
round,sycee#laari#rotor#round,4,1.73
comet,sycee#caaed#cooer#comet,4,1.74
shirk,sycee#salsa#sooth#shirr#shirk,5,1.77
crowd,sycee#carat#color#croci#croup#cronk#cromb#crowd,8,1.85
frost,sycee#amass#roost#prost#frost,5,1.87
heath,sycee#reata#neath#beath#heath,5,1.84
valor,sycee#laari#valor,3,1.76
sappy,sycee#sonsy#stymy#sarky#sally#sappy,6,1.77
pudgy,sycee#gayly#boogy#ridgy#pudgy,5,1.82
photo,sycee#laari#tooth#photo,4,1.77
learn,sycee#reata#deair#pearl#learn,5,1.8
known,sycee#laari#tooth#quonk#known,5,1.88
slang,sycee#salsa#slain#slant#slang,5,1.81
zonal,sycee#laari#total#molal#joual#zonal,6,1.84
coral,sycee#carat#coral,3,1.79
delve,sycee#leare#belie#helve#delve,5,1.74
easel,sycee#reses#easel,3,1.88
cairn,sycee#carat#cairn,3,1.84
throw,sycee#laari#rotor#throb#throw,5,1.85
fight,sycee#laari#nooit#twixt#bight#pight#hight#fight,8,1.91
caput,sycee#carat#capot#caput,4,1.91
basic,sycee#crass#basic,3,2.14
churn,sycee#carat#color#crick#churn,5,1.98
crave,sycee#apace#coate#crare#crane#crame#crake#crave,8,1.94
witch,sycee#carat#tonic#pitch#hitch#fitch#ditch#gitch#mitch#witch,10,2.0
brick,sycee#carat#broch#brick,4,1.88
pansy,sycee#abyss#daisy#karsy#tansy#pansy,6,2.1
guard,sycee#laari#boart#gnarr#guard,5,1.87
shire,sycee#salse#soote#spire#shire,5,1.89
topaz,sycee#laari#fouat#toman#topaz,5,1.96
woman,sycee#laari#fouat#honan#bogan#powan#woman,7,1.91
witty,sycee#gayly#moory#twiny#witty,5,1.95
fluke,sycee#maare#looie#tulle#blude#fluke,6,1.89
venom,sycee#reata#geoid#belon#venom,5,1.95
harsh,sycee#amass#fatso#harsh,4,2.01
palsy,sycee#abyss#daisy#karsy#tansy#palsy,6,2.12
seven,sycee#seres#sewel#semen#seven,5,1.86
glean,sycee#reata#paeon#glean,4,1.94
human,sycee#laari#fouat#dunam#human,5,2.0
undid,sycee#laari#nooit#kinin#unbid#undid,6,1.98
bagel,sycee#baaed#barer#babel#bagel,5,1.84
taint,sycee#laari#taiko#taint,4,1.9
fever,sycee#teaed#ferer#fewer#fever,5,1.9
teach,sycee#react#teach,3,1.98
climb,sycee#carat#cooch#civil#cling#climb,6,2.14
whisk,sycee#tassa#hoosh#whisk,4,2.15
rugby,sycee#gayly#boogy#rugby,4,2.0
allay,sycee#gayly#alary#allay,4,2.1
trawl,sycee#laari#trawl,3,2.0
poker,sycee#baaed#wooer#goier#porer#poler#poker,7,2.06
glide,sycee#maare#looie#tuile#blive#glide,6,1.94
state,sycee#salse#soare#state,4,1.89
craze,sycee#apace#coate#crare#crane#crake#crame#crave#craze,9,1.98
weird,sycee#reata#bevor#weird,4,2.0
curly,sycee#coyly#curly,3,2.08
pulpy,sycee#gayly#loony#blimy#pulpy,5,2.04
junta,sycee#laari#fouat#gutta#junta,5,1.99
debug,sycee#reata#geoid#debug,4,2.05
furry,sycee#gayly#moory#firry#furry,5,2.03
savoy,sycee#sonsy#savoy,3,1.91
swami,sycee#salsa#spado#stair#swami,5,1.99
these,sycee#fesse#obese#prese#these,5,2.07
sloop,sycee#salsa#sotol#sloop,4,1.94
slimy,sycee#sonsy#stymy#sammy#slimy,5,1.99
braid,sycee#laari#riant#braid,4,2.27
theta,sycee#reata#pieta#theta,4,2.05
utter,sycee#baaed#wooer#trier#utter,5,2.02
begin,sycee#reata#geoid#begin,4,2.08
noble,sycee#maare#looie#volte#noule#noble,6,2.03
stalk,sycee#salsa#slain#spalt#stall#stalk,6,2.13
count,sycee#carat#coopt#count,4,2.06
etude,sycee#leare#opepe#evite#etude,5,2.15
cacao,sycee#cacao,2,1.89
magma,sycee#laari#manat#mahua#mamba#magma,6,2.06
widow,sycee#laari#nooit#idiom#bipod#widow,6,2.1
stare,sycee#salse#soare#stare,4,1.95
skiff,sycee#salsa#sooth#skirr#skink#skimp#skiff,7,2.03
gecko,sycee#aecia#decor#gecko,4,2.03
whack,sycee#carat#loach#whack,4,2.09
layer,sycee#hayey#layer,3,2.0
pygmy,sycee#byway#myopy#pygmy,4,2.13
lofty,sycee#gayly#loony#lorry#lofty,5,2.24
groan,sycee#laari#douar#troat#groan,5,2.09
spurt,sycee#salsa#sooth#sprit#spurt,5,2.04
wheel,sycee#teaed#breer#fleek#wheel,5,2.24
swarm,sycee#salsa#shako#starr#snarf#spard#smarm#swarm,8,2.16
opera,sycee#reata#opera,3,2.09
often,sycee#baaed#wooer#mimeo#often,5,2.1
title,sycee#maare#looie#tuile#title,5,2.07
scout,sycee#saics#scoot#scout,4,2.11
humid,sycee#laari#nooit#bifid#humid,5,2.18
afoul,sycee#laari#total#afoul,4,2.31
hence,sycee#ceaze#terce#deice#hence,5,2.06
coyly,sycee#coyly,2,2.27
tryst,sycee#lassy#royst#tryst,4,2.45
eying,sycee#ayelp#eyrir#eying,4,2.02
mouse,sycee#rasse#loose#toise#bouse#house#douse#mouse,8,2.11
vinyl,sycee#gayly#yokul#vinyl,4,2.16
snake,sycee#salse#soare#state#suave#spane#snake,7,2.27
mover,sycee#baaed#wooer#porer#goier#toter#loner#fouer#homer#mover,10,2.15
piper,sycee#baaed#wooer#trier#piler#piper,6,2.17
worse,sycee#rasse#torse#horse#dorse#gorse#morse#worse,8,2.2
grail,sycee#laari#trail#brail#frail#drail#grail,7,2.31
shirt,sycee#salsa#sooth#shirt,4,2.27
scarf,sycee#saics#scala#scaur#scart#scarp#scarf,7,2.18
clang,sycee#carat#coach#claim#clang,5,2.27
recap,sycee#aecia#recal#recap,4,2.17
video,sycee#baaed#rodeo#video,4,2.32
study,sycee#sonsy#stymy#stagy#stivy#study,6,2.22
sweep,sycee#seres#sleet#sheen#speed#sweep,6,2.16
silly,sycee#sonsy#stymy#sarky#slily#silly,6,2.17
towel,sycee#baaed#wooer#towel,4,2.25
nutty,sycee#gayly#moory#twiny#nutty,5,2.36
quoth,sycee#laari#tooth#quoth,4,2.18
natal,sycee#laari#tamal#natal,4,2.19
knife,sycee#maare#looie#twite#quine#knife,6,2.24
retry,sycee#feyly#teary#retry,4,2.38
wispy,sycee#lassy#toshy#risky#wispy,5,2.38
dopey,sycee#hayey#looey#ropey#dopey,5,2.17
corny,sycee#coyly#coady#cooky#corny,5,2.27
adorn,sycee#laari#abort#adorn,4,2.23
blend,sycee#reata#boeuf#bield#blend,5,2.49
depot,sycee#reata#teloi#begot#depot,5,2.3
bugle,sycee#maare#looie#tulle#bugle,5,2.23
dilly,sycee#gayly#hooly#drily#dilly,5,2.3
banjo,sycee#laari#taboo#banjo,4,2.28
plain,sycee#laari#miaul#plait#plain,5,2.24
sooty,sycee#sonsy#soapy#sooty,4,2.38
eject,sycee#reech#elect#eject,4,2.31
admit,sycee#laari#umiak#admit,4,2.29
dryly,sycee#gayly#doyly#dryly,4,2.27
brace,sycee#apace#trace#brace,4,2.19
eking,sycee#reata#boeuf#ehing#eking,5,2.36
duchy,sycee#yucky#duchy,3,2.4
inlay,sycee#gayly#alary#onlay#inlay,5,2.57
befit,sycee#reata#teloi#feint#befit,5,2.39
bloat,sycee#laari#total#bloat,4,2.28
grill,sycee#laari#zoril#trill#brill#prill#frill#drill#grill,9,2.43
stash,sycee#salsa#stash,3,2.22
bigot,sycee#laari#nooit#idiot#pitot#bigot,6,2.43
guava,sycee#laari#awato#guana#guava,5,2.5
sprig,sycee#salsa#sooth#skirr#sirup#sprig,6,2.31
kitty,sycee#gayly#moory#twiny#bitty#ditty#kitty,7,2.64
ghost,sycee#tassa#roost#glost#ghost,5,2.48
rider,sycee#baaed#rodeo#rider,4,2.28
bilge,sycee#maare#looie#tuile#bilge,5,2.54
argue,sycee#maare#porae#argle#argue,5,2.49
oxide,sycee#maare#looie#opine#oxide,5,2.53
flume,sycee#maare#homie#blume#plume#flume,6,2.31
fiber,sycee#baaed#omber#liber#fiber,5,2.27
wight,sycee#laari#nooit#twixt#wight,5,2.38
focus,sycee#ascus#locus#hocus#focus,5,2.25
hairy,sycee#gayly#tarry#hairy,4,2.41
strip,sycee#salsa#sooth#sprit#strip,5,2.28
drape,sycee#maare#roate#irade#drape,5,2.34
slain,sycee#salsa#slart#slain,4,2.44
chump,sycee#carat#cooch#chili#chunk#chump,6,2.42
tulip,sycee#laari#polio#uplit#tulip,5,2.42
madly,sycee#gayly#parly#haily#tally#manly#madly,7,2.43
kiosk,sycee#tassa#hoosh#grosz#kiosk,5,2.53
piggy,sycee#gayly#boogy#durgy#mingy#piggy,6,2.49
enema,sycee#leear#enema,3,2.38
plaza,sycee#laari#dwaal#alamo#plaza,5,2.43
poppy,sycee#gayly#moory#botty#nouny#hoppy#poppy,7,2.56
feign,sycee#reata#geoid#being#feign,5,2.42
