answer,guessed,num_guessed,time_to_solve
clean,stoss#belee#maerl#akela#ileac#clean,6,1.69
chime,stoss#belee#maare#chyme#chime,5,1.75
snout,stoss#soote#shoat#snort#snout,5,1.57
jaunt,stoss#tepee#matai#warty#naunt#daunt#haunt#gaunt#vaunt#jaunt,10,2.0
bloom,stoss#cooee#haoma#broom#bloom,5,1.85
gipsy,semee#gauss#goosy#gypsy#gipsy,5,1.91
scale,semee#sasse#soare#state#suave#space#scale,7,1.66
unzip,semee#taata#goory#filii#cubic#unpin#unhip#unzip,8,1.84
utile,semee#parae#looie#ylike#tuile#utile,6,1.66
whiny,semee#taata#coyly#briny#whiny,5,1.78
plaza,semee#taata#nyala#plaza,4,1.71
debar,semee#reata#beray#debar,4,1.64
stray,semee#stoss#stagy#stray,4,1.63
micro,semee#kaama#myopy#motor#micro,5,1.84
cedar,semee#reata#beray#feuar#cedar,5,1.66
place,semee#parae#poake#plate#place,5,1.63
sloth,semee#stoss#sooty#shott#sloth,5,1.67
cream,semee#premy#cream,3,1.8
mound,semee#thymy#malar#moong#mound,5,1.82
rigor,semee#gayly#boong#rigor,4,1.77
lemon,semee#hempy#reman#lemon,4,1.68
bough,semee#gayly#boong#bough,4,1.77
facet,semee#hayey#caaed#racer#tacet#lacet#facet,7,1.74
valid,semee#gayly#laari#cavil#valid,5,1.85
glove,semee#fayre#looie#thole#clone#bloke#glode#glove,8,1.79
glare,semee#fayre#aware#crare#quare#blare#glare,7,1.74
paste,semee#rasse#taste#caste#baste#paste,6,1.69
chirp,semee#gayly#nooit#briki#chirr#chiru#chirp,7,1.88
fatal,semee#gayly#laari#talak#natal#fatal,6,1.85
drain,semee#gayly#araba#draco#drain,5,1.84
awash,semee#abyss#agast#awash,4,1.96
prone,semee#fayre#oorie#trone#crone#prone,6,1.77
stony,semee#stoss#story#stony,4,1.69
frisk,semee#abyss#roost#crisp#frisk,5,1.99
elude,semee#yfere#eathe#elope#elide#elude,6,1.86
depth,semee#feyly#reata#petto#depth,5,1.75
shard,semee#stoss#slyly#sakai#scaur#sharn#sharp#shard,8,1.81
algae,semee#fayre#alate#algae,4,1.72
leash,semee#gesso#newsy#reast#leash,5,1.72
clash,semee#abyss#paisa#roast#clash,5,2.01
pulpy,semee#gayly#loony#kilty#pulpy,5,1.88
silly,semee#stoss#slyly#sally#silly,5,1.77
loose,semee#rasse#poyse#loose,4,1.76
clock,semee#gayly#loord#choil#clout#clock,6,1.95
sepia,semee#sessa#seiza#sepia,4,1.74
salad,semee#stoss#slyly#sabal#salad,5,1.83
rehab,semee#feyly#reata#rebar#rehab,5,1.77
skiff,semee#stoss#slyly#sakai#skirr#skink#skiff,7,1.86
aware,semee#fayre#aware,3,1.76
caste,semee#rasse#taste#caste,4,1.75
rider,semee#hayey#cooer#trier#firer#riper#rider,7,1.86
axial,semee#gayly#alaap#axial,4,1.95
floss,semee#abyss#cross#floss,4,2.08
haven,semee#hayey#hakea#hater#hazel#haven,6,1.85
cabin,semee#gayly#taata#karoo#canid#cabin,6,1.95
flare,semee#fayre#flare,3,1.78
timer,semee#gamey#romeo#timer,4,1.78
demur,semee#hempy#reman#lemur#femur#demur,6,1.82
guava,semee#gayly#grana#guava,4,1.91
wryly,semee#gayly#coyly#dryly#wryly,5,1.95
offer,semee#hayey#cooer#oiler#order#otter#owner#offer,8,1.92
gummy,semee#yampy#tommy#jimmy#rummy#lummy#nummy#dummy#gummy,9,1.9
tamer,semee#gamey#cameo#tamer,4,1.78
retch,semee#feyly#reata#repot#retch,5,1.86
stack,semee#stoss#stagy#stair#stack,5,1.89
grain,semee#gayly#grana#grain,4,1.95
woman,semee#yampy#atman#roman#woman,5,1.88
inter,semee#hayey#cooer#trier#liter#inter,6,1.93
onion,semee#gayly#nooit#onion,4,2.02
rabid,semee#gayly#taata#karoo#raird#ranid#rabid,7,2.04
sober,semee#sises#skyey#saner#sorer#soler#sober,7,1.91
dirty,semee#gayly#rooty#dirty,4,1.98
inert,semee#faery#overt#piert#inert,5,1.97
tumor,semee#yampy#nomoi#rumor#tumor,5,1.87
sinew,semee#sises#siler#sited#sinew,5,1.85
lanky,semee#gayly#palay#lairy#lathy#lawny#lanky,7,2.03
lowly,semee#gayly#cooly#roily#tolly#lowly,6,2.02
grasp,semee#lassy#agast#grasp,4,2.17
taste,semee#rasse#taste,3,1.82
corer,semee#hayey#cooer#corer,4,1.92
taunt,semee#gayly#taata#taboo#taint#taunt,6,2.07
rhyme,semee#maybe#rhyme,3,1.91
scowl,semee#sassy#sooth#sloid#scowl,5,1.97
paler,semee#hayey#caaed#pareo#pater#paler,6,1.99
shark,semee#sassy#scala#spado#stair#sharn#shark,7,1.99
shock,semee#sassy#sooth#shogi#shorl#shock,6,2.0
drunk,semee#gayly#nooit#knurr#crunk#drunk,6,2.14
piggy,semee#gayly#boogy#ridgy#ciggy#piggy,6,2.12
inbox,semee#gayly#nooit#inion#inbox,5,2.09
blood,semee#gayly#loord#blood,4,2.1
whiff,semee#gayly#nooit#briki#chich#phizz#whiff,7,2.13
punch,semee#gayly#nooit#knurr#bunch#punch,6,2.13
idyll,semee#gayly#idyll,3,2.05
whole,semee#fayre#looie#thole#dhole#whole,6,2.02
flame,semee#maybe#arame#clame#flame,5,2.0
guard,semee#gayly#grana#guard,4,2.07
trial,semee#gayly#alaap#roral#trial,5,2.16
spoon,semee#sassy#sooth#spoor#spool#spoon,6,2.03
retry,semee#feyly#teary#retry,4,1.98
motif,semee#thymy#matai#motif,4,2.2
surge,semee#sasse#soyle#stire#surge,5,1.98
sound,semee#sassy#sooth#sonic#sound,5,2.06
crisp,semee#lassy#roost#crisp,4,2.25
vapor,semee#gayly#taata#karoo#razor#vapor,6,2.17
clove,semee#fayre#looie#thole#clone#cloke#clove,7,2.07
creme,semee#amene#mieve#creme,4,2.02
usher,semee#asses#osier#usher,4,2.01
limit,semee#yampy#nomoi#limit,4,1.99
irate,semee#fayre#aurae#roate#irate,5,2.05
where,semee#yfere#arere#there#chere#where,6,2.07
mogul,semee#thymy#malar#mooli#mogul,5,2.24
shirk,semee#sassy#sooth#shirr#shirk,5,2.06
puppy,semee#gayly#rooty#chivy#nunny#bubby#puppy,7,2.2
hound,semee#gayly#poori#count#bound#hound,6,2.17
early,semee#faery#early,3,2.18
yield,semee#faery#gyeld#yield,4,2.18
clung,semee#gayly#logoi#clung,4,2.18
perky,semee#feyly#teary#derny#herby#perky,6,2.08
copse,semee#rasse#poyse#copse,4,2.07
goose,semee#rasse#poyse#loose#noose#boose#goose,7,2.11
using,semee#lassy#boors#using,4,2.39
stunt,semee#sassy#sooth#sprit#stunt,5,2.11
blush,semee#lassy#glost#flisk#blush,5,2.36
canon,semee#gayly#taata#karoo#caboc#canon,6,2.24
leapt,semee#feyly#pearl#leapt,4,2.11
blend,semee#faery#doeth#bield#blend,5,2.22
royal,semee#gayly#royal,3,2.18
bingo,semee#gayly#boong#bingo,4,2.25
flock,semee#gayly#loord#choil#block#flock,6,2.23
