answer,guessed,num_guessed,time_to_solve
lemur,rimes#femur#demur#lemur,4,1.15
smear,rimus#marsh#smear,3,1.43
laugh,ficus#otaku#waugh#laugh,4,1.35
rayon,rioja#roate#radon#racon#rayon,5,1.2
teach,rioja#swack#glace#beach#peach#teach,6,1.35
stuck,rings#sythe#stowp#stack#stuck,5,1.32
tight,riped#sight#aight#bight#night#kight#fight#might#wight#light#hight#tight,12,1.35
beefy,myops#rugby#bendy#beaky#bevvy#belly#betty#bezzy#beefy,9,1.41
rider,ritzy#rimus#rifle#rived#rider,5,1.22
loopy,rinds#bugle#plack#lymph#loopy,5,1.29
token,rinks#flank#unket#token,4,1.29
widen,voars#klieg#index#widen,4,1.26
fecal,riped#extol#mesal#genal#fecal,5,1.3
eclat,rivel#lodge#wetly#cleat#eclat,5,1.46
tipsy,kiefs#wisht#sitar#tipsy,4,1.26
truth,rohes#archi#brugh#truth,4,1.3
navel,rimed#tapes#waken#navel,4,1.22
route,ritzy#resto#route,3,1.23
asset,rimae#agent#ablet#ashet#asset,5,1.41
infer,rites#aurei#brief#infer,4,1.25
stern,rivel#padre#genro#quern#stern,5,1.42
sumac,rigol#squad#subah#sumac,4,1.29
carat,riyal#kebar#proas#umrah#daraf#carat,6,1.23
repel,murly#relic#renal#refel#revel#rebel#repel,7,1.57
focal,rites#nould#comal#vocal#focal,5,1.24
diode,rinds#tilde#diode,3,1.21
ferry,ricks#amour#entry#leery#verry#perry#berry#herry#ferry,9,1.41
broth,whips#hotly#quoth#froth#broth,5,1.41
slack,lerps#slaid#slaty#slang#slack,5,1.29
artsy,ripes#oscar#swarm#bursa#artsy,5,1.35
bough,rinks#ovule#cough#bough,4,1.28
skirt,rings#seric#skirl#skirt,4,1.41
annex,rimus#chafe#expat#laxed#annex,5,1.34
shear,rivel#trade#yerba#whear#shear,5,1.51
bound,rifle#swung#maund#bound,4,1.24
slush,rives#tsubo#sculp#slung#sluff#slush,6,1.31
tease,rivel#eyots#stade#tease,4,1.3
sappy,rioja#buats#sangh#salve#sammy#sappy,6,1.43
decoy,riven#decaf#decko#decoy,4,1.35
flute,rines#globe#flute,3,1.28
abled,rivel#almeh#ables#abled,4,1.27
drier,riled#dries#drier,3,1.24
terse,girts#torsk#terse,3,1.24
balmy,rings#hoxed#jumpy#flamy#balmy,5,1.33
tacky,rindy#hotly#meaty#tacky,4,1.24
forum,virus#garum#thrum#jorum#forum,5,1.27
fifty,dimps#jirga#wizen#licht#bitou#fifty,6,1.27
scope,riots#shove#snoke#scope,4,1.26
grown,rimed#fluor#organ#grown,4,1.37
polyp,rites#novum#woald#folky#polyp,5,1.27
order,rindy#droke#orbed#order,4,1.49
pilot,rimae#lions#wilco#pilot,4,1.26
exile,binks#tomia#privy#weigh#clied#exile,6,1.34
ideal,ripes#medic#ejido#ideal,4,1.34
until,voars#cleft#thilk#until,4,1.28
amiss,rigol#inust#paise#amiss,4,1.32
naval,rites#nucha#noway#naval,4,1.27
anime,riots#bemix#anime,3,1.3
verse,kilps#sabre#morse#curse#herse#verse,6,1.35
avoid,ripes#unfix#ambit#alcid#avoid,5,1.27
urban,rioja#brace#urban,3,1.43
stash,riped#bonza#schav#shalm#swath#stash,6,1.35
adapt,rivel#phony#stamp#adapt,4,1.31
flock,rinks#baked#kotch#flock,4,1.29
yacht,rites#twang#fouat#yacht,4,1.26
elope,rices#fayne#vogue#bloke#zlote#elope,6,1.32
wafer,ripes#yrneh#warez#waxer#waver#waker#water#wader#wafer,9,1.34
chill,rives#maqui#login#child#chill,5,1.32
strut,rinds#ursae#burst#strut,4,1.38
karma,rindy#brace#umrah#farms#parma#karma,6,1.46
noble,roads#fogey#towze#coupe#noble,5,1.23
rainy,bints#kaing#rainy,3,1.35
gawky,kafir#sanko#latke#gawky,4,1.29
whole,rived#taels#newly#whole,4,1.41
brand,hemps#bruit#bravo#brack#brawn#brand,6,1.34
stand,rinds#nosed#stand,3,1.34
curly,rings#dreck#taroc#curvy#curly,5,1.29
wedge,ficus#lepta#wedgy#wedge,4,1.31
hippy,riped#hiply#hippy,3,1.23
dryly,rings#ovary#jerky#druxy#dryly,5,1.35
gavel,micks#glute#gavel,3,1.3
fruit,ficus#fundi#fruit,3,1.25
smelt,rites#festy#thesp#sweat#scent#smelt,6,1.42
carol,rinds#parev#carbo#carol,4,1.32
block,ripes#mount#block,3,1.25
dying,rings#gamin#incog#eking#thing#duing#dying,7,1.43
axial,ousel#thirl#axial,3,1.26
edify,knaps#quich#flied#deify#edify,5,1.31
