answer,guessed,num_guessed,time_to_solve
ulcer,reify#oread#super#ulcer,4,1.29
gouge,abhor#louse#vouge#gouge,4,1.25
maize,raids#haick#waift#naive#baize#maize,6,1.2
wrung,abort#prise#grund#wrung,4,1.24
chill,chiks#chiel#chirl#chill,4,1.18
rearm,raile#regna#remap#reams#rearm,5,1.15
olive,major#zendo#olive,3,1.32
giant,ramin#isnae#divna#kiang#giant,5,1.43
booth,rakus#jowed#poncy#volti#tooth#booth,6,1.28
along,quino#prong#along,3,1.18
gruel,chimp#druxy#wrung#frugs#gruel,5,1.28
onset,raids#estoc#those#mesto#onset,5,1.23
gonad,ragis#gompa#goban#gonad,4,1.23
itchy,inapt#ixtle#itchy,3,1.15
canoe,oulks#bortz#phoca#cyano#cajon#canoe,6,1.29
funny,carvy#busky#duply#muzzy#tufty#fuggy#funny,7,1.2
snail,rages#solan#snail,3,1.2
stoic,rabic#medic#sonic#stoic,4,1.16
mangy,sauce#rangi#tangy#mangy,4,1.09
surer,adbot#pling#queys#curse#surer,5,1.18
folly,mazed#broil#phlox#jolty#folky#folly,6,1.27
maple,biner#clote#swale#maple,4,1.27
ember,ragus#lirot#decry#krewe#emmer#ember,6,1.21
musty,ranis#sloth#zesty#gusty#busty#musty,6,1.24
overt,raced#enrol#shero#overt,4,1.27
storm,rangi#pucer#wroth#storm,4,1.2
giddy,raits#obeli#unkid#midgy#giddy,5,1.15
mafia,rafts#mafic#mafia,3,1.11
shame,rabis#angst#shako#shaly#shame,5,1.23
noose,ramin#sneck#venus#nosey#noose,5,1.3
pithy,deils#nifty#tichy#pithy,4,1.18
axiom,ragus#loach#anomy#axiom,4,1.21
skier,ranke#skyer#skier,3,1.32
talon,reais#adopt#lotah#taxol#talon,5,1.2
unfed,nimps#fendy#unfed,3,1.23
valid,raced#halid#valid,3,1.09
stout,reals#psion#souct#shout#smout#stout,6,1.17
quiet,quant#qubit#quiet,3,1.17
crack,lures#fairy#roach#brack#wrack#track#drack#crack,8,1.17
tasty,radon#lapje#tabus#taish#tasty,5,1.16
baler,rangy#sabre#bared#baker#baler,5,1.15
stack,masty#boast#tsade#stack,4,1.45
ought,rabic#shelf#nudzh#vughy#ought,5,1.21
prowl,rawly#owler#whorl#growl#prowl,5,1.48
swift,begin#chips#zoist#skirt#swift,5,1.29
daddy,quips#dolma#dance#daraf#daddy,5,1.23
grunt,qubit#recut#spurt#grunt,4,1.13
sweat,deoxy#mitre#scent#swelt#sweat,5,1.35
scent,ranid#snoke#scent,3,1.2
