answer,guessed,num_guessed,time_to_solve
joker,ricey#wader#queer#sorer#loper#zoner#joker,7,1.23
guard,shots#bunje#guard,3,1.27
lorry,spout#boron#corky#moray#wordy#lorry,6,1.31
older,snyes#parev#idler#elder#older,5,1.26
olive,demit#siree#ylike#blive#olive,5,1.43
tying,preon#nying#lying#vying#tying,5,1.31
uncut,brose#ngati#thunk#uncut,4,1.23
boule,cauri#mould#nouls#voulu#poule#joule#foule#boule,8,1.27
serif,frory#zarfs#serif,3,1.49
vinyl,deems#appro#hulky#vinyl,4,1.29
cacao,tined#oppos#haoma#lazzo#wacko#bacco#cacao,7,1.31
karma,sippy#maker#karma,3,1.34
exact,cozey#sneck#react#epact#exact,5,1.44
bring,powin#inert#grind#bring,4,1.53
synod,plugs#karst#disci#sewed#synod,5,1.38
table,choof#atria#gamut#watts#taped#tazze#table,7,1.55
inner,sharn#niner#inner,3,1.27
comic,tikis#ludic#amnic#comic,4,1.24
grief,unket#wheel#issei#dimer#prief#grief,6,1.3
label,yuppy#carks#waled#label,4,1.6
thief,chons#phpht#dhuti#thill#thief,5,1.23
threw,hokes#ached#yrneh#three#threw,5,1.26
flown,byrls#laika#felch#flump#flown,5,1.33
screw,ganev#orbed#rupee#fifer#strew#screw,6,1.31
delay,devon#deres#decad#delay,4,1.24
slosh,vinca#holly#sheol#sloth#slosh,5,1.4
super,onion#setts#sable#skeed#surer#super,6,1.41
cower,cunit#creds#comer#cover#cower,5,1.24
sneak,ivied#creak#steak#speak#sneak,5,1.49
bunny,mizen#anlas#rownd#punny#tunny#funny#bunny,7,1.43
flier,elmen#flies#flied#flier,4,1.24
front,wirra#refel#froth#front,4,1.38
dolly,mural#elves#lowly#doily#doyly#dooly#dolly,7,1.35
berth,conks#wrawl#tiger#vertu#derth#berth,6,1.34
thyme,spado#genty#ethyl#kythe#thyme,5,1.3
ensue,swirl#fussy#unsee#ensue,4,1.33
smart,sorra#sabre#slart#start#swart#spart#scart#smart,8,1.27
crepe,viffs#kench#macle#crewe#crepe,5,1.43
month,pirog#adobo#ounce#fonly#monks#month,6,1.41
egret,veles#hoyed#utter#freet#egret,5,1.28
stomp,avgas#pusle#tipsy#stowp#stomp,5,1.42
brick,godet#paska#klick#quick#chick#brick,6,1.31
clued,stopt#beaky#niner#culex#clued,5,1.34
butch,wroot#ditsy#katal#butte#butch,5,1.49
facet,duchy#locis#mecca#racer#tacet#facet,6,1.27
scamp,hause#sisal#spard#scamp,4,1.35
orbit,ceiba#ibrik#orbit,3,1.27
slope,siver#seepy#scope#stope#slope,5,1.27
worry,hopak#looms#vogie#cowry#worry,5,1.29
field,naval#stele#yield#field,4,1.46
renal,bulbs#flong#learn#renal,4,1.45
dryly,plaas#filmy#loury#redly#dryly,5,1.34
trash,wonga#saims#tsade#trash,4,1.48
adorn,weave#surra#bajri#aport#acorn#adorn,6,1.45
maker,hitch#deely#aspen#gamer#mazer#maker,6,1.5
pique,bolts#dered#cheka#minge#wifie#pique,6,1.32
terse,bodle#cesse#mease#reuse#herse#terse,6,1.31
shook,grisy#ousts#scold#snoop#shook,5,1.41
snoop,bants#losen#nkosi#snoop,4,1.32
knoll,gynny#nacho#onium#knops#knowe#knoll,6,1.78
totem,feats#tynde#twoer#totem,4,1.3
trick,xerus#pagri#britt#triol#triff#trick,6,1.34
unlit,manta#tigon#snirt#inwit#unlit,5,1.51
tamer,emits#therm#tamer,3,1.4
flask,tepid#romal#alula#blaff#flags#flask,6,1.32
fruit,sluff#frump#fruit,3,1.21
knead,ycled#piend#knead,3,1.24
grass,umras#aryls#braks#prats#crass#frass#grass,7,1.35
glide,smoky#plate#blude#glide,4,1.3
decry,clink#scoog#varec#decry,4,1.4
undue,huffs#uvula#ureic#undee#undue,5,1.43
style,moove#zanze#tribe#kythe#styte#style,6,1.3
below,gangs#upter#beedi#bevvy#belch#below,6,1.34
jerky,doing#kests#bekah#pecky#yeuky#jerky,6,1.37
nymph,colly#yeesh#rayah#nymph,4,1.41
broth,capri#breer#brush#broth,4,1.32
batch,yipes#jarul#dadah#natch#catch#watch#batch,7,1.3
zesty,waker#loess#setup#besit#zesty,5,1.37
hello,smolt#oculi#dowle#jello#hello,5,1.27
creek,warbs#tryer#urdee#green#creek,5,1.31
quill,octet#fungi#muids#quill,4,1.32
rupee,tinty#razer#rokes#rupee,4,1.41
sassy,choco#denet#burly#sappy#saggy#savvy#sammy#sassy,8,1.6
video,maare#ludes#index#bidet#hided#video,6,1.41
plied,xerus#aldea#bleed#flied#plied,5,1.32
tract,bayou#meats#plant#kraft#tract,5,1.37
saucy,spoof#subby#saucy,3,1.23
utile,brags#femme#hynde#locie#ixtle#utile,6,1.32
squad,oints#reuse#usual#squad,4,1.29
terra,sasin#dwaal#koppa#gumma#fetta#terra,6,1.4
satyr,rehab#yarrs#satyr,3,1.37
ledge,ceric#senna#kedge#wedge#hedge#ledge,6,1.27
reply,strim#reney#redry#rebuy#relay#reply,6,1.34
daisy,along#scrae#whats#missa#daisy,5,1.41
heavy,zigan#bawdy#amply#heavy,4,1.47
patch,paint#patty#paths#patch,4,1.24
hasty,toles#xysti#masty#nasty#pasty#vasty#hasty,7,1.29
draft,trove#artal#pruta#brast#krait#craft#graft#draft,8,1.31
doubt,vroom#cacao#gouks#houff#lound#doubt,6,1.58
showy,redan#toits#skosh#shoyu#showy,5,1.31
spell,boyed#spews#spelt#spelk#spell,5,1.4
abbey,bigae#weamb#ables#abbed#abbey,5,1.61
awash,halos#shard#abash#awash,4,1.35
range,smelt#befog#agree#range,4,1.34
marsh,qanat#jasps#sambo#maise#mausy#marsh,6,1.31
sugar,radio#anger#sugar,3,1.34
snail,moron#whang#knave#unapt#snail,5,1.43
plump,parev#poofy#pinks#plumb#plump,5,1.27
leash,spued#teems#gesso#newsy#leish#leash,6,1.47
shade,gourd#addax#dalis#tsade#shade,5,1.48
cloud,bedad#courd#cloud,3,1.24
hovel,urena#polje#dowel#motel#yokel#losel#voxel#hovel,8,1.35
weedy,alfas#oxide#weedy,3,1.32
eclat,swayl#allee#belga#eclat,4,1.39
baton,kanji#wagon#paeon#radon#baton,5,1.27
tiger,malva#boite#uteri#titer#tiger,5,1.45
funny,dwelt#gummy#quaky#hurry#punny#sunny#bunny#funny,8,1.35
issue,tarns#shock#mimsy#gusli#issue,5,1.3
bleak,pampa#legal#eclat#bleak,4,1.56
fugue,dregs#hyleg#eigne#cogue#vague#fugue,6,1.37
chuck,atimy#ruble#conus#chuck,4,1.3
verso,brims#serry#wersh#perst#verse#verso,6,1.4
grape,chics#awato#flaxy#urare#braze#drave#grame#grape,8,1.4
basal,foxie#sacra#palsy#basal,4,1.34
apnea,hardy#ogams#annat#apnea,4,1.37
probe,jolls#pioye#prone#prore#probe,5,1.37
flunk,labor#illth#clump#sluse#fluky#flunk,6,1.34
buyer,wooed#lacey#yites#pryer#feyer#buyer,6,1.31
buggy,dalis#preop#bucku#bunny#buzzy#buffy#butty#buggy,8,1.33
purer,clied#bever#farer#purer,4,1.27
sheik,blees#skear#sheik,3,1.23
coupe,foods#vocab#colic#comte#coupe,5,1.28
party,hazes#pagri#parma#parky#party,5,1.26
ascot,yates#strak#tsuba#assot#ascot,5,1.37
tibia,acton#tilak#tibia,3,1.46
waist,wirra#wadis#waist,3,1.29
roost,hints#tesla#story#roost,4,1.38
ladle,typos#madge#cadie#ladle,4,1.31
truth,saice#downy#thrum#truth,4,1.27
plead,firry#palet#plead,3,1.44
water,cools#duvet#ither#tater#water,5,1.34
gruff,gigot#grans#grued#gruff,4,1.27
press,yolks#hains#geums#crews#frees#preps#press,7,1.35
shoot,smear#swoln#stoop#scoot#shoot,5,1.31
smell,furze#needs#slept#skelm#smell,5,1.51
color,winch#codec#color,3,1.46
stray,creps#sowar#strag#stray,4,1.31
motif,bogue#moyas#motor#motif,4,1.29
sleep,tacit#droop#whump#bleep#sleep,5,1.37
swami,boyla#tanti#ariki#scapi#swami,5,1.43
lipid,cavas#knout#geyer#phizz#lipid,5,1.34
gauze,nieve#corse#bulge#gauje#gauze,5,1.31
stoke,ghees#sepoy#sonne#swore#smote#stove#stoae#stoke,8,1.49
cumin,cezve#ciggy#click#combi#camis#cumin,6,1.28
cabby,stear#agony#calmy#caddy#cabby,5,1.3
tasty,fogou#vealy#rammy#yawny#cabby#tasty,6,1.49
punch,plane#pinon#punky#punch,4,1.26
prize,heame#jinne#spike#cripe#prize,5,1.33
pubic,fraus#puked#pulli#pubic,4,1.3
shuck,risks#askew#shuck,3,1.37
sandy,bagel#janns#sansa#sandy,4,1.26
crude,yills#vaper#torte#umbre#ruffe#crude,6,1.35
cider,edges#dynel#coded#cider,4,1.3
grail,balti#sials#plaid#frail#grail,5,1.55
humid,duels#gundy#audit#humid,4,1.24
knelt,speks#wreak#kieve#kheth#knelt,5,1.27
blurt,xebec#bumbo#bajus#blurt,4,1.49
bless,scaws#rhies#desks#boeps#blebs#bleys#bless,7,1.35
segue,drees#slake#syboe#singe#segue,5,1.41
basil,seeds#asyla#clasp#basil,4,1.37
artsy,cycle#rhyta#tarry#artsy,4,1.44
woken,gismo#bacon#doorn#woven#woxen#woken,6,1.37
crass,teloi#ducky#scrag#czars#crabs#crass,6,1.32
ulcer,pride#rexes#cover#facer#ulcer,5,1.48
eking,dined#skein#eking,3,1.59
racer,minny#wards#rabat#raphe#racer,5,1.47
enemy,dumky#amity#mopey#germy#enemy,5,1.25
amend,kirks#daggy#bedad#aloed#amend,5,1.38
stare,shady#starn#start#starr#stark#stare,6,1.24
parer,venin#zoeal#eager#tamer#fader#carer#yarer#parer,8,1.59
thong,wooly#above#quops#dhoti#thong,5,1.33
armor,jewie#porgy#rumbo#armor,4,1.42
preen,babas#coqui#hefte#dreer#green#preen,6,1.38
foray,rebec#maria#afros#foray,4,1.44
navel,upjet#samey#babel#cavel#ravel#navel,6,1.28
glade,wazir#anele#volae#clame#plage#glade,6,1.41
chard,clits#coped#chard,3,1.25
musky,gucky#murky#musky,3,1.22
spelt,wives#eensy#usure#sheol#skelp#spelt,6,1.47
lasso,fuels#laksa#lassy#lassi#lasso,5,1.34
folio,effed#flask#folly#folio,4,1.52
hussy,aback#tills#frosh#hussy,4,1.43
swamp,agami#clamp#stamp#swamp,4,1.23
dingo,paras#jenny#mongo#lingo#dingo,5,1.33
pinky,weary#soily#tinny#pinky,4,1.29
croak,welke#okapi#kokam#croak,4,1.47
women,negro#conne#eosin#lozen#moten#women,6,1.54
murky,clear#grubs#virtu#furry#duroy#purpy#murky,7,1.34
