answer,guessed,num_guessed,time_to_solve
debut,ricks#month#taggy#beted#debut,5,1.21
eager,sperm#error#eggar#eager,4,1.32
nasal,butch#pippy#jaggs#salle#laksa#vasal#nasal,7,1.51
heist,inbox#wiper#ceili#deity#feist#geist#heist,7,1.51
swung,sente#sharn#snubs#slung#swung,5,1.26
grass,toils#deems#braws#crays#gravs#grans#grass,7,1.29
basin,steil#aspis#basin,3,1.25
smart,vitas#state#skart#spart#swart#scart#slart#smart,8,1.52
north,weeke#suids#tamal#robot#forth#north,6,1.52
wryly,purin#roary#wryly,3,1.4
harry,bases#lawin#cadgy#yappy#ratty#harry,6,1.3
toast,faves#musca#sonar#hoast#loast#boast#toast,7,1.38
curly,tyros#beryl#girly#marly#curly,5,1.26
bacon,wents#narco#macon#bacon,4,1.29
micro,clary#scurs#micro,3,1.21
gypsy,walds#scrub#these#knosp#gipsy#gypsy,6,1.32
power,perce#piker#payer#poser#poler#power,6,1.24
rinse,choil#imids#sissy#birse#rinse,5,1.44
aider,leben#popes#diked#wider#cider#rider#aider,7,1.3
fiber,awmry#grips#iller#niter#jiver#hirer#fixer#fiber,8,1.45
mushy,zowie#magma#muddy#musty#mussy#musky#mushy,7,1.32
odder,tawer#fleer#ormer#ocker#osier#odder,6,1.25
borne,twain#poons#foyne#bonne#borne,5,1.35
juicy,muggs#nutty#hurry#dully#yucky#juicy,6,1.28
world,debye#idols#nould#woald#world,5,1.4
board,talak#jiaos#coady#hoard#board,5,1.43
fault,dogma#salal#table#patly#vault#hault#fault,7,1.46
brass,swine#abyss#brass,3,1.29
heron,forel#berko#perog#aeros#xerox#heron,6,1.29
olden,unjam#owsen#often#olden,4,1.41
edict,temed#stade#edict,3,1.51
scour,exits#grasp#rushy#scour,4,1.3
drama,pedes#admit#maund#drama,4,1.34
glass,nowts#imids#jesus#avgas#grabs#gyals#glass,7,1.27
happy,terts#agami#vulva#cycad#yabby#janny#faffy#pawky#happy,9,1.38
cubic,dhals#worry#genii#tupik#zuzim#cubic,6,1.3
smash,syphs#schwa#shale#smash,4,1.26
viola,clach#lapse#nulla#qibla#viola,5,1.7
grunt,dozed#balms#virtu#trunk#grunt,5,1.37
nanny,aspic#trank#laund#faena#nanny,5,1.32
drown,plops#kooky#abort#froze#croci#vrouw#wrong#drown,8,1.3
clash,donah#ralph#slash#flash#blash#clash,6,1.27
handy,surfy#denay#bandy#pandy#handy,5,1.24
abort,dupes#thorn#amort#abort,4,1.27
value,bails#jacal#naled#value,4,1.24
lymph,timps#oomph#bumph#nymph#lymph,5,1.24
tacky,adrad#nucha#backs#wacko#jacky#tacky,6,1.52
sower,smolt#soken#sowed#sower,4,1.23
shale,walis#gusla#psalm#scald#shale,5,1.43
wrest,dimly#bobac#ruses#fresh#wrest,5,1.4
which,alist#chivy#which,3,1.21
cluck,twier#apayd#jouks#cluck,4,1.3
viper,slags#prude#hyper#wiper#riper#viper,6,1.34
afoul,trios#vulgo#louma#afoul,4,1.3
anvil,sypes#inbox#until#anvil,4,1.3
erect,telco#spect#erect,3,1.22
welch,twoer#hawse#weigh#welch,4,1.35
photo,upter#atopy#poots#plotz#photo,5,1.37
loopy,sutor#codex#gooly#looky#loony#loopy,6,1.32
lingo,bundu#rines#zinco#pinto#lingo,5,1.28
hippo,traps#blype#quipu#gippo#zippo#hippo,6,1.27
youth,tided#stott#molto#fouth#routh#youth,6,1.41
abode,whiss#abaca#abbey#abele#above#abode,6,1.35
chord,hexed#thrid#chard#chord,4,1.26
swift,tuple#skatt#snift#swift,4,1.32
write,hilum#briar#pricy#wried#write,5,1.45
witch,forms#lanky#duvet#thigh#witch,5,1.28
third,peats#thill#thigh#third,4,1.27
shape,theca#whale#shake#share#shave#shade#shame#shape,8,1.26
hoist,debby#trios#foist#hoist,4,1.38
short,sowce#shiso#shola#shott#shout#shoot#short,7,1.27
lobby,coned#volva#tools#mogul#loppy#lobby,6,1.32
sperm,bijou#meane#shmek#stems#smell#sperm,6,1.38
order,rindy#dears#udder#coder#older#order,6,1.52
udder,ayelp#begum#tuffe#udder,4,1.4
crown,peise#graal#frorn#brown#crown,5,1.3
later,tires#otter#water#hater#rater#cater#gater#later,8,1.29
musty,erven#abamp#mimic#mythy#musty,5,1.41
teeth,slims#predy#keech#teeth,4,1.29
flume,banty#reoil#fugle#flume,4,1.3
cigar,ambry#rowan#drear#hilar#vicar#cigar,6,1.65
pinky,curia#tiled#vison#piing#pinky,5,1.34
terra,pulls#harry#morra#verra#terra,5,1.37
candy,skips#womby#leany#navvy#fancy#canty#candy,7,1.4
briny,skies#amity#drily#gripy#briny,5,1.26
