answer,guessed,num_guessed,time_to_solve
clink,reify#acids#cling#clink,4,27.7
prove,radix#gorsy#crone#wroke#brome#froze#prove,7,27.32
frown,radon#korun#orcin#proyn#brown#grown#frown,7,26.85
stilt,ragas#owsen#shtik#silty#slipt#stilt,6,27.05
skiff,raffs#snuff#sowff#spiff#stiff#skiff,6,27.66
elite,raggy#bison#clipe#flite#elite,5,26.98
under,raids#edger#dryer#under,4,26.84
group,syver#guard#grump#group,4,27.33
anger,dried#corey#ragee#auger#agger#anger,6,27.2
patty,rails#gamey#baccy#navvy#takky#patty,6,27.31
racer,radge#rajes#raker#rater#raper#rawer#razer#raver#rarer#racer,10,27.57
joust,rager#dipso#ytost#joust,4,27.54
randy,raffs#rabbi#racer#rally#raggy#ratty#randy,7,27.44
ulcer,ragga#visor#femur#tuber#udder#upper#ulcer,7,27.68
chalk,quoad#artsy#mecca#panic#chawk#chalk,6,27.83
stand,ranks#ascon#snath#slant#stand,5,27.93
cameo,raine#easts#gaped#cameo,4,27.97
vying,raggs#eying#tying#vying,4,28.16
scene,saags#shier#scend#scent#scene,5,28.16
quash,rahui#huzza#aught#pujah#luach#quash,6,28.39
blink,rahed#flunk#plink#slink#clink#blink,6,28.41
craze,raiks#blaer#arame#grave#wrate#frape#crane#crare#craze,9,29.85
comet,radix#tolls#poynt#motet#comet,5,30.87
clone,crims#centu#clone,3,30.81
crane,rakee#aurae#chare#crate#crane,5,31.08
naval,raggy#navel#naval,3,31.33
vigil,quipu#bingo#liger#sigla#vigil,5,31.83
groin,raked#worst#ochry#prion#groin,5,31.54
decor,raird#donor#decor,3,31.39
vomit,sythe#pinta#droit#oubit#vomit,5,31.86
spilt,quich#stirk#saint#swift#spilt,5,32.02
junto,daric#befog#nooky#punto#junto,5,32.33
tally,ranee#gapos#hadji#babka#talcy#tally,6,32.27
spoil,quale#stool#scowl#spoil,4,32.54
bough,wiser#alaap#nudzh#couth#hough#bough,6,32.34
chaos,quint#slake#praos#chaos,4,32.64
hitch,rakus#combe#dicty#pitch#fitch#hitch,6,32.6
cliff,ratoo#elves#bludy#flimp#gliff#cliff,6,33.0
serif,ragis#sweir#serif,3,32.68
slide,raita#plims#slice#slive#slide,5,33.01
twang,pumie#yclad#aorta#tanhs#twank#twang,6,33.24
sperm,quino#bewet#dregs#sperm,4,33.47
deign,synch#untie#being#reign#feign#deign,6,33.54
brief,arils#gripe#cried#frier#brief,5,33.89
greed,rabic#flory#pheer#greek#greet#grees#green#greed,8,33.83
bitty,calla#rests#fifth#nitty#witty#ditty#kitty#bitty,8,34.02
chard,armed#spard#liard#board#chard,5,33.93
golly,rajes#gibli#godly#golly,4,34.13
stink,purls#swive#snick#skink#stink,5,34.07
carat,quint#fract#caret#carat,4,34.52
olden,rayon#hosen#often#olden,4,34.44
began,pubic#rehab#betas#belay#began,5,34.67
blame,cogon#mires#ameba#weamb#blame,5,35.01
quote,impro#toned#ethos#flote#azote#quote,6,35.14
frisk,putid#swami#frise#frisk,4,34.91
dream,fyles#nudie#beard#drear#dream,5,34.87
skier,raped#bries#osier#skier,4,35.32
butch,quoin#rutty#cutup#butch,4,35.23
truss,quale#chiru#syrup#urson#brusk#trust#truss,7,35.52
steel,paces#besee#osier#skyey#sleet#steel,6,35.3
fuzzy,recto#skips#agama#fuffy#fundy#fubby#fuzzy,7,35.62
grape,putto#shape#frape#drape#crape#grape,6,35.75
curry,raved#porty#surgy#furzy#murly#curny#curry,7,39.33
