answer,guessed,num_guessed,time_to_solve
parka,handy#swift#glove#crump#parka,5,0.28
comfy,handy#swift#glove#crump#comfy,5,0.3
store,handy#swift#glove#crump#store,5,0.28
steer,handy#swift#glove#crump#steer,5,0.3
splat,handy#swift#glove#crump#splat,5,0.28
murky,handy#swift#glove#crump#murry#murky,6,0.3
ester,handy#swift#glove#crump#ester,5,0.33
askew,handy#swift#glove#crump#wekas#askew,6,0.3
utile,handy#swift#glove#crump#tuile#utile,6,0.31
brain,handy#swift#glove#crump#brain,5,0.29
stunk,handy#swift#glove#crump#stunk,5,0.28
triad,handy#swift#glove#crump#triad,5,0.28
dwarf,handy#swift#glove#crump#dwarf,5,0.3
puree,handy#swift#glove#crump#rupee#puree,6,0.3
olive,handy#swift#glove#crump#olive,5,0.28
tried,handy#swift#glove#crump#tried,5,0.3
croup,handy#swift#glove#crump#croup,5,0.29
oxide,handy#swift#glove#crump#oxide,5,0.28
skirt,handy#swift#glove#crump#skirt,5,0.29
preen,handy#swift#glove#crump#preen,5,0.28
joust,handy#swift#glove#crump#joust,5,0.3
rebut,handy#swift#glove#crump#rebut,5,0.28
burly,handy#swift#glove#crump#lurry#burly,6,0.31
gooey,handy#swift#glove#crump#gooey,5,0.29
cubic,handy#swift#glove#crump#cubic,5,0.31
drove,handy#swift#glove#crump#drove,5,0.28
apnea,handy#swift#glove#crump#penna#apnea,6,0.31
cocoa,handy#swift#glove#crump#cobza#cocoa,6,0.31
friar,handy#swift#glove#crump#friar,5,0.29
pried,handy#swift#glove#crump#pried,5,0.28
ovate,handy#swift#glove#crump#ovate,5,0.3
screw,handy#swift#glove#crump#screw,5,0.28
still,handy#swift#glove#crump#stilb#still,6,0.3
pagan,handy#swift#glove#crump#pagan,5,0.3
adore,handy#swift#glove#crump#adore,5,0.28
aisle,handy#swift#glove#crump#aisle,5,0.3
comet,handy#swift#glove#crump#comet,5,0.28
karma,handy#swift#glove#crump#karma,5,0.29
twist,handy#swift#glove#crump#twist,5,0.3
biome,handy#swift#glove#crump#biome,5,0.28
midge,handy#swift#glove#crump#midge,5,0.3
quail,handy#swift#glove#crump#quail,5,0.28
gaffe,handy#swift#glove#crump#gaffe,5,0.29
gouge,handy#swift#glove#crump#gouge,5,0.28
froth,handy#swift#glove#crump#froth,5,0.3
amass,handy#swift#glove#crump#amass,5,0.28
juror,handy#swift#glove#crump#burro#juror,6,0.3
trawl,handy#swift#glove#crump#trawl,5,0.3
slack,handy#swift#glove#crump#slack,5,0.3
court,handy#swift#glove#crump#court,5,0.28
gamma,handy#swift#glove#crump#gamma,5,0.29
steel,handy#swift#glove#crump#steel,5,0.28
guide,handy#swift#glove#crump#guide,5,0.28
eject,handy#swift#glove#crump#eject,5,0.3
glare,handy#swift#glove#crump#glare,5,0.28
begin,handy#swift#glove#crump#begin,5,0.3
wrist,handy#swift#glove#crump#wrist,5,0.27
email,handy#swift#glove#crump#email,5,0.3
dopey,handy#swift#glove#crump#dopey,5,0.28
grope,handy#swift#glove#crump#grope,5,0.28
canon,handy#swift#glove#crump#canon,5,0.3
nobly,handy#swift#glove#crump#nobly,5,0.29
while,handy#swift#glove#crump#while,5,0.28
organ,handy#swift#glove#crump#organ,5,0.28
fluke,handy#swift#glove#crump#fluke,5,0.3
plain,handy#swift#glove#crump#plain,5,0.29
pitch,handy#swift#glove#crump#pitch,5,0.28
twirl,handy#swift#glove#crump#twirl,5,0.29
ranch,handy#swift#glove#crump#ranch,5,0.3
natal,handy#swift#glove#crump#natal,5,0.28
atoll,handy#swift#glove#crump#atoll,5,0.29
savoy,handy#swift#glove#crump#savoy,5,0.28
dummy,handy#swift#glove#crump#dummy,5,0.3
mulch,handy#swift#glove#crump#mulch,5,0.28
urban,handy#swift#glove#crump#urban,5,0.28
vying,handy#swift#glove#crump#vying,5,0.31
posse,handy#swift#glove#crump#posse,5,0.28
harem,handy#swift#glove#crump#harem,5,0.3
gully,handy#swift#glove#crump#gully,5,0.28
snipe,handy#swift#glove#crump#snipe,5,0.28
scale,handy#swift#glove#crump#scale,5,0.29
roomy,handy#swift#glove#crump#roomy,5,0.28
diode,handy#swift#glove#crump#diode,5,0.28
sever,handy#swift#glove#crump#sever,5,0.3
shalt,handy#swift#glove#crump#shalt,5,0.29
lager,handy#swift#glove#crump#lager,5,0.28
clock,handy#swift#glove#crump#clock,5,0.3
riper,handy#swift#glove#crump#piker#riper,6,0.3
weave,handy#swift#glove#crump#weave,5,0.28
solve,handy#swift#glove#crump#solve,5,0.29
flair,handy#swift#glove#crump#flair,5,0.28
repel,handy#swift#glove#crump#repel,5,0.3
penal,handy#swift#glove#crump#penal,5,0.28
mocha,handy#swift#glove#crump#mocha,5,0.28
pivot,handy#swift#glove#crump#pivot,5,0.29
shore,handy#swift#glove#crump#shore,5,0.3
owner,handy#swift#glove#crump#owner,5,0.28
rural,handy#swift#glove#crump#jural#aural#rural,7,0.3
optic,handy#swift#glove#crump#topic#optic,6,0.3
poesy,handy#swift#glove#crump#poesy,5,0.3
stead,handy#swift#glove#crump#stead,5,0.28
heist,handy#swift#glove#crump#heist,5,0.28
creep,handy#swift#glove#crump#creep,5,0.31
horse,handy#swift#glove#crump#horse,5,0.28
woozy,handy#swift#glove#crump#woozy,5,0.3
eking,handy#swift#glove#crump#being#eking,6,0.3
sixth,handy#swift#glove#crump#sixth,5,0.28
daddy,handy#swift#glove#crump#baddy#daddy,6,0.3
bushy,handy#swift#glove#crump#bushy,5,0.29
serif,handy#swift#glove#crump#serif,5,0.3
graze,handy#swift#glove#crump#graze,5,0.28
suite,handy#swift#glove#crump#suite,5,0.28
whiff,handy#swift#glove#crump#whiff,5,0.3
fruit,handy#swift#glove#crump#fruit,5,0.27
tower,handy#swift#glove#crump#tower,5,0.3
loyal,handy#swift#glove#crump#boyla#loyal,6,0.3
eerie,handy#swift#glove#crump#jirre#eerie,6,0.3
elite,handy#swift#glove#crump#elite,5,0.29
rivet,handy#swift#glove#crump#rivet,5,0.28
semen,handy#swift#glove#crump#semen,5,0.29
envoy,handy#swift#glove#crump#envoy,5,0.28
inlay,handy#swift#glove#crump#inlay,5,0.3
plait,handy#swift#glove#crump#plait,5,0.29
lupus,handy#swift#glove#crump#pulls#lupus,6,0.3
rusty,handy#swift#glove#crump#rusty,5,0.3
latch,handy#swift#glove#crump#latch,5,0.28
marsh,handy#swift#glove#crump#marsh,5,0.3
guise,handy#swift#glove#crump#guise,5,0.27
china,handy#swift#glove#crump#china,5,0.3
smirk,handy#swift#glove#crump#smirr#smirk,6,0.3
crept,handy#swift#glove#crump#crept,5,0.3
idiot,handy#swift#glove#crump#idiot,5,0.28
peace,handy#swift#glove#crump#peace,5,0.28
stool,handy#swift#glove#crump#stool,5,0.3
harry,handy#swift#glove#crump#harry,5,0.28
haute,handy#swift#glove#crump#haute,5,0.28
pulpy,handy#swift#glove#crump#pulpy,5,0.29
flora,handy#swift#glove#crump#flora,5,0.28
clued,handy#swift#glove#crump#clued,5,0.28
array,handy#swift#glove#crump#braxy#array,6,0.3
swine,handy#swift#glove#crump#swine,5,0.3
total,handy#swift#glove#crump#total,5,0.29
psalm,handy#swift#glove#crump#psalm,5,0.28
score,handy#swift#glove#crump#score,5,0.28
globe,handy#swift#glove#crump#globe,5,0.3
since,handy#swift#glove#crump#since,5,0.28
agree,handy#swift#glove#crump#agree,5,0.29
flint,handy#swift#glove#crump#flint,5,0.28
peril,handy#swift#glove#crump#piler#peril,6,0.31
saucy,handy#swift#glove#crump#saucy,5,0.28
inept,handy#swift#glove#crump#nepit#inept,6,0.29
moist,handy#swift#glove#crump#moist,5,0.28
lousy,handy#swift#glove#crump#lousy,5,0.3
plank,handy#swift#glove#crump#plank,5,0.28
gayer,handy#swift#glove#crump#gayer,5,0.29
sepia,handy#swift#glove#crump#sepia,5,0.28
smock,handy#swift#glove#crump#smock,5,0.28
flesh,handy#swift#glove#crump#flesh,5,0.28
chasm,handy#swift#glove#crump#chasm,5,0.3
slunk,handy#swift#glove#crump#slunk,5,0.28
wordy,handy#swift#glove#crump#wordy,5,0.29
loath,handy#swift#glove#crump#lotah#loath,6,0.3
rhino,handy#swift#glove#crump#rhino,5,0.28
board,handy#swift#glove#crump#dorad#board,6,0.31
quart,handy#swift#glove#crump#jurat#quart,6,0.3
tenth,handy#swift#glove#crump#tenth,5,0.28
flare,handy#swift#glove#crump#flare,5,0.28
debar,handy#swift#glove#crump#adder#debar,6,0.31
bevel,handy#swift#glove#crump#kvell#bevel,6,0.3
hound,handy#swift#glove#crump#hound,5,0.29
mower,handy#swift#glove#crump#mower,5,0.3
aider,handy#swift#glove#crump#redia#aider,6,0.3
tulle,handy#swift#glove#crump#tulle,5,0.28
shunt,handy#swift#glove#crump#shunt,5,0.3
drank,handy#swift#glove#crump#brand#drank,6,0.3
piper,handy#swift#glove#crump#piker#piper,6,0.3
proud,handy#swift#glove#crump#proud,5,0.3
river,handy#swift#glove#crump#jiver#river,6,0.3
stump,handy#swift#glove#crump#stump,5,0.29
caper,handy#swift#glove#crump#caper,5,0.3
stood,handy#swift#glove#crump#stood,5,0.3
exile,handy#swift#glove#crump#exile,5,0.28
evict,handy#swift#glove#crump#evict,5,0.3
lipid,handy#swift#glove#crump#lipid,5,0.29
clove,handy#swift#glove#crump#clove,5,0.3
pleat,handy#swift#glove#crump#pleat,5,0.3
phony,handy#swift#glove#crump#phony,5,0.3
cower,handy#swift#glove#crump#cower,5,0.28
prism,handy#swift#glove#crump#prism,5,0.29
stiff,handy#swift#glove#crump#stiff,5,0.3
welch,handy#swift#glove#crump#welch,5,0.3
dread,handy#swift#glove#crump#ardeb#dread,6,0.31
carry,handy#swift#glove#crump#carry,5,0.29
tying,handy#swift#glove#crump#tying,5,0.28
foray,handy#swift#glove#crump#foray,5,0.3
tense,handy#swift#glove#crump#tense,5,0.28
acute,handy#swift#glove#crump#acute,5,0.3
taboo,handy#swift#glove#crump#taboo,5,0.29
witty,handy#swift#glove#crump#witty,5,0.28
swore,handy#swift#glove#crump#swore,5,0.3
mangy,handy#swift#glove#crump#mangy,5,0.28
tease,handy#swift#glove#crump#tease,5,0.3
sworn,handy#swift#glove#crump#sworn,5,0.29
cheek,handy#swift#glove#crump#check#cheek,6,0.3
ahead,handy#swift#glove#crump#jehad#ahead,6,0.31
geeky,handy#swift#glove#crump#geeky,5,0.27
modem,handy#swift#glove#crump#demob#modem,6,0.32
spill,handy#swift#glove#crump#spill,5,0.28
mince,handy#swift#glove#crump#mince,5,0.28
drone,handy#swift#glove#crump#drone,5,0.3
poser,handy#swift#glove#crump#poser,5,0.28
toxic,handy#swift#glove#crump#toxic,5,0.29
honey,handy#swift#glove#crump#honey,5,0.3
focal,handy#swift#glove#crump#focal,5,0.28
bagel,handy#swift#glove#crump#bagel,5,0.3
medic,handy#swift#glove#crump#medic,5,0.28
amble,handy#swift#glove#crump#amble,5,0.29
piety,handy#swift#glove#crump#piety,5,0.3
lunch,handy#swift#glove#crump#lunch,5,0.28
rigid,handy#swift#glove#crump#rigid,5,0.29
cargo,handy#swift#glove#crump#cargo,5,0.3
crude,handy#swift#glove#crump#crude,5,0.28
shear,handy#swift#glove#crump#shear,5,0.3
gleam,handy#swift#glove#crump#gleam,5,0.29
wafer,handy#swift#glove#crump#wafer,5,0.28
weigh,handy#swift#glove#crump#weigh,5,0.29
meter,handy#swift#glove#crump#retem#meter,6,0.3
cigar,handy#swift#glove#crump#cigar,5,0.3
exert,handy#swift#glove#crump#exert,5,0.28
later,handy#swift#glove#crump#ratel#later,6,0.31
anode,handy#swift#glove#crump#anode,5,0.29
segue,handy#swift#glove#crump#segue,5,0.28
apart,handy#swift#glove#crump#apart,5,0.28
minor,handy#swift#glove#crump#minor,5,0.3
maxim,handy#swift#glove#crump#bambi#maxim,6,0.31
puppy,handy#swift#glove#crump#yuppy#buppy#puppy,7,0.3
odder,handy#swift#glove#crump#derro#odder,6,0.31
salsa,handy#swift#glove#crump#salal#salsa,6,0.31
tarot,handy#swift#glove#crump#tarot,5,0.28
billy,handy#swift#glove#crump#bilby#billy,6,0.31
naval,handy#swift#glove#crump#naval,5,0.29
patty,handy#swift#glove#crump#patty,5,0.3
stuck,handy#swift#glove#crump#scuts#stuck,6,0.3
bloat,handy#swift#glove#crump#bloat,5,0.28
shark,handy#swift#glove#crump#shark,5,0.29
might,handy#swift#glove#crump#might,5,0.3
booty,handy#swift#glove#crump#booty,5,0.28
allot,handy#swift#glove#crump#allot,5,0.3
doubt,handy#swift#glove#crump#doubt,5,0.29
leper,handy#swift#glove#crump#repel#leper,6,0.3
empty,handy#swift#glove#crump#empty,5,0.3
hairy,handy#swift#glove#crump#hairy,5,0.28
argue,handy#swift#glove#crump#argue,5,0.3
bezel,handy#swift#glove#crump#jebel#bezel,6,0.31
knave,handy#swift#glove#crump#knave,5,0.3
gassy,handy#swift#glove#crump#gassy,5,0.28
pasty,handy#swift#glove#crump#pasty,5,0.3
fauna,handy#swift#glove#crump#fauna,5,0.27
glove,handy#swift#glove,3,0.27
weary,handy#swift#glove#crump#weary,5,0.28
wrong,handy#swift#glove#crump#wrong,5,0.28
tubal,handy#swift#glove#crump#tubal,5,0.3
devil,handy#swift#glove#crump#lived#devil,6,0.3
flock,handy#swift#glove#crump#flock,5,0.3
spasm,handy#swift#glove#crump#spasm,5,0.28
fifth,handy#swift#glove#crump#fifth,5,0.28
guess,handy#swift#glove#crump#guess,5,0.3
enter,handy#swift#glove#crump#nertz#enter,6,0.3
squad,handy#swift#glove#crump#squad,5,0.28
mercy,handy#swift#glove#crump#mercy,5,0.3
index,handy#swift#glove#crump#inked#index,6,0.3
gourd,handy#swift#glove#crump#gourd,5,0.29
earth,handy#swift#glove#crump#earth,5,0.28
gruff,handy#swift#glove#crump#gruff,5,0.28
tweak,handy#swift#glove#crump#tweak,5,0.29
leave,handy#swift#glove#crump#leave,5,0.3
wacky,handy#swift#glove#crump#wacky,5,0.29
macaw,handy#swift#glove#crump#macaw,5,0.28
waltz,handy#swift#glove#crump#waltz,5,0.3
mayor,handy#swift#glove#crump#mayor,5,0.28
theta,handy#swift#glove#crump#beath#theta,6,0.31
vowel,handy#swift#glove#crump#vowel,5,0.29
beady,handy#swift#glove#crump#beady,5,0.28
